,feature_name,word,zwickau,zwickau norm.,london,london norm.,breslau,breslau norm.,zwickau / london,zwickau / breslau,london / breslau,version with higher score
3394,word_counter,uera,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3395,word_counter,peruenire,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3396,word_counter,erudarerent,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3397,word_counter,faciendos,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3398,word_counter,peruenirent,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3399,word_counter,criptis,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3400,word_counter,rotundum,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3401,word_counter,carmeleum,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3402,word_counter,uineta,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3403,word_counter,excelit,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3404,word_counter,holofernes,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3405,word_counter,dificultatem,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3406,word_counter,orifehler,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3407,word_counter,definiertundus,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3408,word_counter,sepore,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3409,word_counter,tiberiadem,1,3.72300819061802e-05,2,6.657346381732241e-05,2,0.0002018978396931153,0.5592330603127328,0.1844005956813105,0.32973836628719794,london
3410,word_counter,tumulatus,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3411,word_counter,cipel,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3412,word_counter,ueniens,1,3.72300819061802e-05,3,9.986019572598362e-05,1,0.00010094891984655764,0.3728220402084885,0.368801191362621,0.9892150988615938,london
3413,word_counter,carmelam,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3414,word_counter,holofernem,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3415,word_counter,firmus,1,3.72300819061802e-05,0,0.0,1,0.00010094891984655764,0.0,0.368801191362621,0.0,zwickau
3416,word_counter,pluria,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3417,word_counter,castrorum,1,3.72300819061802e-05,2,6.657346381732241e-05,1,0.00010094891984655764,0.5592330603127328,0.368801191362621,0.6594767325743959,london
3418,word_counter,holofernis,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
