,importance,feature
887,0.0,_dete
888,0.0,_detr
889,0.0,_deu
890,0.0,_deue
891,0.0,_deum
892,0.0,_deuo
893,0.0,_deus
894,0.0,_deut
895,0.0,_dex
896,0.0,_dext
897,0.0,_di
898,0.0,_dia
899,0.0,_diac
900,0.0,_diam
901,0.0,_dic
902,0.0,_dica
903,0.0005,_dice
904,0.0,_dici
905,0.0,_dico
906,0.0,_dict
907,0.0,_dicu
908,0.0,_did
909,0.0,_didi
910,0.0005,_die
911,0.0,_die_
912,0.0,_dieb
913,0.0,_diei
914,0.0,_diem
915,0.0,_dies
916,0.0,_diet
917,0.0,_dif
918,0.0,_difi
919,0.0,_dig
920,0.0,_digi
921,0.0,_dign
922,0.0,_dii
923,0.0,_dii_
924,0.0,_dil
925,0.0,_dile
926,0.0,_dili
927,0.0,_dilu
928,0.0,_dim
929,0.0,_dimi
930,0.0,_dio
931,0.0,_dioc
932,0.0,_dios
933,0.0,_dir
934,0.0,_dire
935,0.0,_diri
936,0.0,_dis
937,0.0,_disc
938,0.0,_disp
939,0.0,_diss
940,0.0,_dist
941,0.0,_diu
942,0.0,_diu_
943,0.0,_diue
944,0.0,_diui
945,0.0,_diuo
946,0.0,_dix
947,0.0,_dixe
948,0.0,_dixi
949,0.0,_do
950,0.0,_doc
951,0.0,_doc_
952,0.0,_doce
953,0.0,_doct
954,0.0,_docu
955,0.0,_dom
956,0.0,_domi
957,0.0,_domo
958,0.0,_domu
959,0.0,_dor
960,0.0,_dor_
961,0.0,_dora
962,0.0,_dorm
963,0.0,_dorr
964,0.0,_dos
965,0.0,_dos_
966,0.0,_dot
967,0.0,_dota
968,0.0,_du
969,0.0,_dua
970,0.0,_duar
971,0.0,_duas
972,0.0,_dub
973,0.0,_dubi
974,0.0,_duc
975,0.0,_duce
976,0.0,_duci
977,0.0,_duct
978,0.0,_ducu
979,0.0,_due
980,0.0,_due_
981,0.0,_dul
982,0.0,_dulc
983,0.0,_duo
984,0.0,_duo_
985,0.0,_duob
986,0.0,_duos
987,0.0,_dup
988,0.0,_dupl
989,0.0,_dur
990,0.0,_dura
991,0.0,_duri
992,0.0,_dux
993,0.0,_duxi
994,0.001,_e
995,0.0,_e_
996,0.0,_e_r
997,0.0,_e_re
998,0.0,_ea
999,0.0005,_ea_
1000,0.0,_ea_a
1001,0.0,_ea_c
1002,0.0,_ea_d
1003,0.0,_ea_e
1004,0.0,_ea_f
1005,0.0,_ea_g
1006,0.0,_ea_h
1007,0.0,_ea_i
1008,0.0,_ea_m
1009,0.0,_ea_o
1010,0.0,_ea_p
1011,0.0,_ea_q
1012,0.0,_ea_s
1013,0.0,_ea_t
1014,0.0,_ea_u
1015,0.0,_ead
1016,0.0,_eade
1017,0.0,_eam
1018,0.0,_eam_
1019,0.0,_ear
1020,0.0,_earu
1021,0.0,_eas
1022,0.0,_eas_
1023,0.0,_easd
1024,0.0,_eb
1025,0.0,_ebd
1026,0.0,_ebdo
1027,0.0,_ebe
1028,0.0,_ebel
1029,0.0,_eber
1030,0.0,_ebr
1031,0.0,_ebro
1032,0.0,_ec
1033,0.0,_ecc
1034,0.0,_ecc_
1035,0.0,_ecce
1036,0.0,_eccl
1037,0.0,_ecl
1038,0.0,_ecle
1039,0.0,_ed
1040,0.0,_edi
1041,0.0,_edif
1042,0.0,_edis
1043,0.0,_edo
1044,0.0,_edom
1045,0.0,_edon
1046,0.0,_edr
1047,0.0,_edra
1048,0.0,_ef
1049,0.0,_efi
1050,0.0,_efic
1051,0.0,_efl
1052,0.0,_eflu
1053,0.0,_efr
1054,0.0,_efra
1055,0.0,_efre
1056,0.0,_efu
1057,0.0,_efus
1058,0.0,_eg
1059,0.0,_egi
1060,0.0,_egip
1061,0.0,_egl
1062,0.0,_eglo
1063,0.0,_ego
1064,0.0,_ego_
1065,0.0,_egom
1066,0.0,_egr
1067,0.0,_egre
1068,0.0,_ei
1069,0.0,_ei_
1070,0.0,_ei_a
1071,0.0,_ei_c
1072,0.0,_ei_g
1073,0.0,_ei_i
1074,0.0,_ei_p
1075,0.0,_ei_s
1076,0.0,_eic
1077,0.0,_eici
1078,0.0,_eid
1079,0.0,_eide
1080,0.0,_eidi
1081,0.0,_eie
1082,0.0,_eiec
1083,0.0,_eis
1084,0.0,_eis_
1085,0.0,_eisd
1086,0.0,_eiu
1087,0.0,_eius
1088,0.0,_el
1089,0.0,_ele
1090,0.0,_elec
1091,0.0,_eleg
1092,0.0,_elep
1093,0.0,_eleu
1094,0.0,_eli
1095,0.0,_elio
1096,0.0,_elis
1097,0.0,_elo
1098,0.0,_eloc
1099,0.0,_em
1100,0.0,_ema
1101,0.0,_emac
1102,0.0,_emat
1103,0.0,_emau
1104,0.0,_eme
1105,0.0,_emer
1106,0.0,_emi
1107,0.0,_emim
1108,0.0,_emin
1109,0.0,_emu
1110,0.0,_emun
1111,0.0,_en
1112,0.0,_ena
1113,0.0,_enar
1114,0.0,_end
1115,0.0,_endo
1116,0.0,_ene
1117,0.0,_enea
1118,0.0,_eneu
1119,0.0,_eng
1120,0.0,_enga
1121,0.0,_eni
1122,0.0,_enim
1123,0.0,_enn
1124,0.0,_enno
1125,0.0,_eo
1126,0.0,_eo_
1127,0.0,_eo_a
1128,0.0,_eo_c
1129,0.0,_eo_e
1130,0.0,_eo_f
1131,0.0,_eo_m
1132,0.0,_eo_p
1133,0.0,_eo_q
1134,0.0,_eo_s
1135,0.0,_eo_t
1136,0.0,_eo_u
1137,0.0,_eod
1138,0.0,_eode
1139,0.0,_eor
1140,0.0,_eoru
1141,0.0,_eos
1142,0.0,_eos_
1143,0.0,_eosd
1144,0.0,_ep
1145,0.0,_epe
1146,0.0,_epeb
1147,0.0,_epi
1148,0.0,_epis
1149,0.0,_eq
1150,0.0,_equ
1151,0.0,_equa
1152,0.0,_equi
1153,0.0,_equo
1154,0.0,_er
1155,0.0,_er_
1156,0.0,_er_s
1157,0.0,_era
1158,0.0,_era_
1159,0.0,_eram
1160,0.0,_eran
1161,0.0,_erat
1162,0.0,_ere
1163,0.0,_ere_
1164,0.0,_erei
1165,0.0,_erem
1166,0.0,_erex
1167,0.0,_erg
1168,0.0,_ergo
1169,0.0,_eri
1170,0.0,_erig
1171,0.0,_err
1172,0.0,_erra
1173,0.0,_erro
1174,0.0,_eru
1175,0.0,_erud
1176,0.0,_erue
1177,0.0,_erum
1178,0.0,_erun
1179,0.002,_es
1180,0.0,_esa
1181,0.0,_esau
1182,0.0,_esc
1183,0.0,_esci
1184,0.0,_esd
1185,0.0,_esdr
1186,0.0,_ese
1187,0.0,_eseb
1188,0.0,_esec
1189,0.0,_ess
1190,0.0,_esse
1191,0.001,_est
1192,0.0,_est_
1193,0.0,_esta
1194,0.0,_esti
1195,0.0005,_et
1196,0.0,_et_
1197,0.0,_et_a
1198,0.0,_et_b
1199,0.0,_et_c
1200,0.0,_et_d
1201,0.0,_et_e
1202,0.0,_et_f
1203,0.0,_et_g
1204,0.0,_et_h
1205,0.0025,_et_i
1206,0.0,_et_l
1207,0.0,_et_m
1208,0.0,_et_n
1209,0.0,_et_o
1210,0.0005,_et_p
1211,0.0,_et_q
1212,0.0,_et_r
1213,0.001,_et_s
1214,0.0,_et_t
1215,0.0,_et_u
1216,0.0,_eta
1217,0.0,_etat
1218,0.0,_ete
1219,0.0,_eter
1220,0.0,_eteu
1221,0.0,_eti
1222,0.0,_etia
1223,0.0,_etio
1224,0.0,_ets
1225,0.0,_etsi
1226,0.0,_eu
1227,0.0,_eua
1228,0.0,_eua_
1229,0.0,_eue
1230,0.0,_eue_
1231,0.0,_euer
1232,0.0,_eueu
1233,0.0,_euf
1234,0.0,_eufr
1235,0.0,_eul
1236,0.0,_eule
1237,0.0,_eum
1238,0.0,_eum_
1239,0.0,_eun
1240,0.0,_eund
1241,0.0,_eunt
1242,0.0,_eunu
1243,0.0,_euo
1244,0.0,_euom
1245,0.0,_eur
1246,0.0,_euru
1247,0.0,_ex
1248,0.0,_ex_
1249,0.0,_ex_c
1250,0.0,_ex_e
1251,0.0,_ex_h
1252,0.0,_ex_i
1253,0.0,_ex_l
1254,0.0,_ex_m
1255,0.0,_ex_n
1256,0.0,_ex_o
1257,0.0,_ex_p
1258,0.0,_ex_s
1259,0.0,_ex_u
1260,0.0,_exa
1261,0.0,_exal
1262,0.0,_exc
1263,0.0,_exce
1264,0.0,_excl
1265,0.0,_excr
1266,0.0,_excu
1267,0.0,_exe
1268,0.0,_exec
1269,0.0,_exem
1270,0.0,_exeq
1271,0.0,_exer
1272,0.0,_exeu
1273,0.0,_exh
1274,0.0,_exhi
1275,0.0,_exi
1276,0.0,_exig
1277,0.0,_exir
1278,0.0,_exis
1279,0.0,_exit
1280,0.0,_exiu
1281,0.0,_exo
1282,0.0,_exod
1283,0.0,_exor
1284,0.0,_exp
1285,0.0,_expe
1286,0.0,_expl
1287,0.0,_expo
1288,0.0,_expr
1289,0.0,_expu
1290,0.0,_exs
1291,0.0,_exsi
1292,0.0,_exsp
1293,0.0005,_ext
1294,0.0,_exte
1295,0.0,_exti
1296,0.0,_extr
1297,0.0,_extu
1298,0.0015,_f
1299,0.0,_fa
1300,0.0,_fab
1301,0.0,_faba
1302,0.0,_fabe
1303,0.0,_fabr
1304,0.0,_fabu
1305,0.0,_fac
1306,0.0,_face
1307,0.0,_faci
1308,0.0,_fact
1309,0.0,_fam
1310,0.0,_fami
1311,0.0,_famo
1312,0.0,_famu
1313,0.0,_fas
1314,0.0,_fast
1315,0.0,_fat
1316,0.0,_fate
1317,0.0,_fati
1318,0.0,_fatu
1319,0.0,_fau
1320,0.0,_faui
