,before,after
4415,procliviori,procliuiori
4416,"Bethania,",betania
4417,Marthe,marte
4418,"Marie,",marie
4419,cysternam,cisternam
4420,"campo,",campo
4421,Bethaniam,betaniam
4422,venienti,uenienti
4423,Martha,marta
4424,Maria,maria
4425,vocata.,uocata
4426,Bethania,betania
4427,Symonis,simonis
4428,leprosi,leprosi
4429,recubuit,recubuit
4430,Ihesu.,iesu
4431,(22v),
4432,hospitatus,hospitatus
4433,ipsarum,ipsarum
4434,Lazari,lasari
4435,resuscitatus,resuscitatus
4436,marmorea,marmorea
4437,decens,decens
4438,descendi.,descendi
4439,miraculum,miraculum
4440,resuscitationis,resuscitationis
4441,factum.Recedendo,factumrecedendo
4442,nondum,nondum
4443,interpositum,interpositum
4444,ascenditur,ascenditur
4445,Syon.,sion
4446,lacrime,lacrime
4447,fuse,fuse
4448,videntes,uidentes
4449,exultationem,exultationem
4450,magni!,magni
4451,Quanta,quanta
4452,erit,erit
4453,exultatio,exultatio
4454,glorie,glorie
4455,"tue,",tue
4456,bone,bone
4457,"Ihesu,",iesu
4458,ignominie,ignominie
4459,confusionis,confusionis
4460,tue,tue
4461,tanto,tanto
4462,tripudio,tripudio
4463,videatur!Sed,uideatursed
4464,obmissis,obmissis
4465,quantocius,quantocius
4466,veniamus.,ueniamus
4467,Descenditur,descenditur
4468,iterum,iterum
4469,dilecta,dilecta
4470,occultatur.,occultatur
4471,Itur,itur
4472,orentali,orentali
4473,Bethfage,betfage
4474,dimittitur,dimititur
4475,Offensionis,ofensionis
4476,"australe,",australe
4477,gyratur,giratur
4478,Oliveti.,oliueti
4479,Venitur,uenitur
4480,asinum,asinum
4481,continuo,continuo
4482,resplendet,resplendet
4483,sanctis.,sanctis
4484,ergo,ergo
4485,turbis,turbis
4486,precedentibus,precedentibus
4487,sequentibus,sequentibus
4488,clamantibus,clamantibus
4489,osanna,osanna
4490,letantibus,letantibus
4491,benedicto,benedicto
4492,"adventu,",aduentu
4493,flevit,fleuit
4494,amarissime,amarissime
4495,illam.,ilam
4496,Procedamus,procedamus
4497,orationis,orationis
4498,agonia,agonia
4499,captivitatis,capciuitatis
4500,transeamus,transeamus
4501,Cedron,cedron
4502,"sequamur,",sequamur
4503,concedatur,concedatur
4504,Golgatha,golgata
4505,fixi,fixi
4506,caute,caute
4507,fluentes,fluentes
4508,Moriamur,moriamur
4509,Christo,cristo
4510,pariter,pariter
4511,resurgamus.,resurgamus
4512,Descriptio,descriptio
4513,Ierusalem.,ierusalem
4514,summi,sumi
4515,montuosa.,montuosa
4516,(23r),
4517,preterquam,preterquam
4518,36,
4519,aquilonem;,aquilonem
4520,Sobaste,sobaste
4521,16;,
4522,sychem,sicem
4523,13;,
4524,27.,
4525,Hee,hee
4526,Ioppe,ioppe
4527,"13,",
4528,"occidentalis,",occidentalis
4529,aquilonaris.,aquilonaris
4530,"7,",
4531,Bethleem,betleem
4532,2;,
4533,Thecua,tecua
4534,4;,
4535,8.,
4536,austrum.Est,austrumest
4537,"dupliciter,",dupliciter
4538,videlicet,uidelicet
4539,occidente;,occidente
4540,"Syon,",sion
4541,Descendit,descendit
4542,dependet,dependet
4543,"Josaphat,",iosapat
4544,est.,est
4545,"dominice,",dominice
4546,argumentantes,argumentantes
4547,menia,menia
4548,Isti,isti
4549,nesciunt,nesciunt
4550,loquantur,loquantur
4551,viderunt.,uiderunt
4552,talis,talis
4553,"fuit,",fuit
4554,manente,manente
4555,stultum,stultum
4556,fuisset,fuisset
4557,impossibile,impossibile
4558,alium,alium
4559,transferre,transferre
4560,munitionem,munitionem
4561,omni,omni
4562,"parte,",parte
4563,ullomodo.,ulomodo
4564,ampliata,ampliata
4565,"longitudine,",longitudine
4566,manet,manet
4567,habitatur.,habitatur
4568,pauci,pauci
4569,admodum,admodum
4570,capacitate,capacitate
4571,continue,continue
4572,timore.,timore
4573,Dispositionem,dispositionem
4574,antiquam,antiquam
4575,possibile,possibile
4576,indagavi.,indagaui
4577,<mons>,mons
4578,"hodie,",hodie
4579,supereminens,supereminens
4580,"civitati,",ciuitati
4581,capax,capax
4582,posse,posse
4583,Syloe,siloe
4584,semicirculum,semicirculum
4585,"occidentem,",occidentem
4586,turris,turris
4587,David.,dauid
4588,rupes,rupes
4589,prerupta,prerupta
4590,semicirculi,semicirculi
4591,"similiter,",similiter
4592,appellabatur,appelabatur
4593,Mello,melo
4594,"(23v),",
4595,repletionem,repletionem
4596,inferiorem,inferiorem
4597,leguntur,leguntur
4598,plurimum,plurimum
4599,laborasse.,laborasse
4600,Turris,turris
4601,prerupte,prerupte
4602,rupis,rupis
4603,competenter,competenter
4604,"eminenti,",eminenti
4605,vorago,uorago
4606,cingens,cingens
4607,curvabatur,curuabatur
4608,inclinando,inclinando
4609,gyrans,girans
4610,turrim.,turrim
4611,voraginis,uoraginis
4612,Vallis,ualis
4613,cingebat,cingebat
4614,dividebatur,diuidebatur
4615,valles,uales
4616,"profundas,",profundas
4617,procedebat,procedebat
4618,faciebant,faciebant
4619,angulum,angulum
4620,oppositum,oppositum
4621,angulus,angulus
4622,inferiori,inferiori
4623,turri,turri
4624,descendebat,descendebat
4625,preceps,preceps
4626,"Moria,",moria
4627,"templum,",templum
4628,separans,separans
4629,Aquarum,aquarum
4630,"Salomonis,",salomonis
4631,edificatum,edificatum
4632,Moria.,moria
4633,repleta.,repleta
4634,Possunt,possunt
4635,deprehendi.,deprehendi
4636,"vorago,",uorago
4637,"vallis,",ualis
4638,turre,turre
4639,faciebat,faciebat
4640,fossatum,fossatum
4641,longitudinem,longitudinem
4642,aquilonis.,aquilonis
4643,eminens,eminens
4644,acram,acram
4645,"positus,",positus
4646,"anguli,",anguli
4647,constituta,constituta
4648,orientis.,orientis
4649,(24r),
4650,aream,aream
4651,"templi,",templi
4652,includens,includens
4653,ambitus,ambitus
4654,civitatis.,ciuitatis
4655,Rupes,rupes
4656,"quam,",quam
4657,edificatus,edificatus
4658,coniungebatur,coniungebatur
4659,aquilonali.,aquilonali
4660,Ille,ile
4661,nebulosa,nebulosa
4662,firmum,firmum
4663,"multa,",multa
4664,quamvis,quamuis
4665,oportunitas,oportunitas
4666,declivitas,decliuitas
4667,admittit.,admitit
4668,"occidentis,",occidentis
4669,vehementer,uehementer
4670,"alta,",alta
4671,dependebat,dependebat
4672,inclinans,inclinans
4673,murum,murum
4674,"orientalem,",orientalem
4675,"Cedron,",cedron
4676,dimissior.,dimissior
4677,sordes,sordes
4678,sterquilinii,sterquilinii
4679,defluebant,defluebant
4680,Cedron.,cedron
4681,voraginem,uoraginem
4682,dictam,dictam
4683,exeuntibus,exeuntibus
4684,veteri,ueteri
4685,Iudiciaria,iuditiaria
4686,crucifixus,crucifixus
4687,passionem,passionem
4688,circumductus,circumductus
4689,Stephani,stepani
4690,Vides,uides
4691,"extendit,",extendit
4692,supereminebant,supereminebant
4693,"urbi,",urbi
4694,dependenbat.,dependenbat
4695,patet,patet
4696,atriorum,atriorum
4697,"dicit,",dicit
4698,describuntur,describuntur
4699,hystoriis.,historiis
4700,complanata,complanata
4701,dimissiora,dimissiora
4702,civitate.,ciuitate
4703,Depositus,depositus
4704,Romanos,romanos
4705,"atriorum,",atriorum
4706,Area,area
4707,(24v),
4708,quadrata,quadrata
4709,plusquam,plusquam
4710,Templum,templum
4711,antiquum,antiquum
4712,atria,atria
4713,torrenti,torrenti
4714,imminenti,iminenti
4715,pedibus.,pedibus
4716,Non,non
4717,area,area
4718,"Vallis,",ualis
4719,descendebatur,descendebatur
4720,Iosaphat.,iosapat
4721,Gregis,gregis
4722,introducebantur,introducebantur
4723,greges,greges
4724,immolandi,imolandi
4725,templo.,templo
4726,adherebat,adherebat
4727,putabant,putabant
4728,turrim,turrim
4729,Nebulosam,nebulosam
4730,Anancelis,anancelis
4731,"Phaselus,",paselus
4732,apparent,apparent
4733,vestigia.,uestigia
4734,Intrantibus,intrantibus
4735,piscina,piscina
4736,"Probatica,",probatica
4737,Nazarei,nasarei
4738,lavabant,lauabant
4739,"hostias,",hostias
4740,sacerdotibus,sacerdotibus
4741,presentabant,presentabant
4742,offerendas.,oferendas
4743,porticus,porticus
4744,habuisse,habuisse
4745,iacebant,iacebant
4746,infirmi,infirmi
4747,exspectantes,exspectantes
4748,motum.,motum
4749,vie,uie
4750,predictam,predictam
4751,intrantibus,intrantibus
4752,Anne,anne
4753,"interior,",interior
4754,Ezechias,esecias
4755,modo:,modo
4756,obcuravit,obcurauit
4757,superiorem,superiorem
4758,Gyon,gion
4759,avertit,auertit
4760,subter,subter
4761,urbis,urbis
4762,paulo,paulo
4763,"dictum,",dictum
4764,incidens,incidens
4765,ferre,ferre
4766,"petram,",petram
4767,"Ecc.,",ecc
4768,inducens,inducens
4769,piscinam,piscinam
4770,"istam,",istam
4771,obsidione,obsidione
4772,populus,populus
4773,"bibendum,",bibendum
4774,Assyrii,assirii
4775,prophentii,propentii
4776,prohibere.,prohibere
4777,Fontem,fontem
4778,"inferiorem,",inferiorem
4779,distabat,distabat
4780,agro,agro
4781,"Fullonis,",fulonis
4782,natatoriam,natatoriam
4783,Syloe.,siloe
4784,Achar,acar
4785,inceperat,inceperat
4786,perfecerat.,perfecerat
4787,Ys.:,is
4788,“Egredere,egredere
4789,extremum,extremum
4790,piscine,piscine
4791,superioris,superioris
4792,agri,agri
4793,fullonis.”,fulonis
4794,superior,superior
4795,respectu,respectu
4796,Natatorie,natatorie
4797,"Syloe,",siloe
4798,natatoria,natatoria
4799,"aquam,",aquam
4800,inferior.Et,inferioret
4801,diversitate,diuersitate
4802,istarum,istarum
4803,piscinarum,piscinarum
4804,earum:,earum
4805,(25r),
4806,precipua,precipua
4807,habens.,habens
4808,Saleron,saleron
4809,ministerio,ministerio
4810,"illam,",ilam
4811,"Anne,",anne
4812,interior.,interior
4813,Ezechias.,esecias
4814,ante.,ante
4815,"Acheldemach,",aceldemac
4816,"piscina,",piscina
4817,perfecit,perfecit
4818,alicubi,alicubi
4819,invenias,inuenias
4820,"verum,",uerum
4821,impossibile.,impossibile
4822,Scio,stio
4823,“onus,onus
4824,visionis”,uisionis
4825,habuerit,habuerit
4826,"potest,",potest
4827,400,
4828,"cubitis,",cubitis
4829,sursum.,sursum
4830,inferiore,inferiore
4831,"Gyon,",gion
4832,Alias,alias
4833,piscinas,piscinas
4834,"antiquitus,",antiquitus
4835,velit,autit
4836,"Eneum,",eneum
4837,computare.,computare
4838,Berkilia,berkilia
4839,domo,domo
4840,patriarche,patriarce
4841,hospitalis,hospitalis
4842,fit,fit
4843,mentio,mentio
4844,scriptura.,scriptura
4845,Iosaphat,iosapat
4846,orientis,orientis
4847,profunda,profunda
4848,"multum,",multum
4849,inpleta.,inpleta
4850,Romani,romani
4851,"oppugnantes,",oppugnantes
4852,incisis,incisis
4853,arboribus,arboribus
4854,"aliis,",aliis
4855,aggeres,aggeres
4856,"facientes,",facientes
4857,impleverunt.,impleuerunt
4858,capta,capta
4859,conplanato,conplanato
4860,cetero,cetero
4861,"posset,",posset
4862,Helius,helius
4863,Adrianus,adrianus
4864,aspergi,aspergi
4865,sale.,sale
4866,illic,ilic
4867,existenti,existenti
4868,oculum,oculum
4869,patent.,patent
4870,Sepulchrum,sepulcrum
4871,"gloriose,",gloriose
4872,"Iosaphat,",iosapat
4873,ima,ima
4874,"profunditate,",profunditate
4875,"Oliveti,",oliueti
4876,(25v),
4877,superficie,superficie
4878,"subversionem,",subuersionem
4879,"testudinata,",testudinata
4880,decet,decet
4881,Virginem,uirginem
4882,repletionibus,repletionibus
4883,huiusmodi,huiusmodi
4884,"cooperta,",cooperta
4885,"plana,",plana
4886,eundum.,eundum
4887,edificium,edificium
4888,capellule,capelule
4889,intraveris,intraueris
4890,descendes,descendes
4891,plurimos,plurimos
4892,gloriose.,gloriose
4893,sexaginta.,sexaginta
4894,chori,cori
4895,marmoreum,marmoreum
4896,magnifice,magnifice
4897,decoratum,decoratum
4898,ipso.,ipso
4899,humida,humida
4900,supradictis,supradictis
4901,"coopertus,",coopertus
4902,inundatio,inundatio
4903,"torrens,",torrens
4904,"currit,",currit
4905,erumpens,erumpens
4906,replet,replet
4907,hostium,hoscium
4908,superius,superius
4909,posite,posite
4910,exuberans,exuberans
4911,exit,exit
4912,aqua.In,aquain
4913,cimiterio,cimiterio
4914,"ecclesie,",ecclesie
4915,"hostio,",hostio
4916,hauritur,hauritur
4917,indigenis,indigenis
4918,"quodam,",quodam
4919,Noemia,noemia
4920,Draconis,draconis
4921,Gregis.,gregis
4922,virginis,uirginis
4923,lumen,lumen
4924,fenestris,fenestris
4925,orientalibus,orientalibus
4926,"positis,",positis
4927,sedium,sedium
4928,dispositionem,dispositionem
4929,accedere,accedere
4930,lux,lux
4931,diei.,diei
4932,"capellule,",capelule
4933,50,
4934,ostium,oscium
4935,alterius,alterius
4936,"ortus,",ortus
4937,adherens,adherens
4938,cuidam,cuidam
4939,rupi,rupi
4940,concave,concaue
4941,"dependenti,",dependenti
4942,"sedebant,",sedebant
4943,Dominus:,dominus
4944,“Sedete,sedete
4945,vadam,uadam
4946,orem.”,orem
4947,eorum.,eorum
4948,tentus,tentus
4949,"turbis,",turbis
4950,osculo,osculo
4951,tradente.,tradente
4952,impressio,impressio
4953,calvarie,caluarie
4954,dependente,dependente
4955,liniamenta,liniamenta
4956,verti(26r)cis,uerticis
4957,capillorum,capilorum
4958,digitorum,digitorum
4959,Quam,quam
4960,impressionem,impressionem
4961,apprehendendo,apprehendendo
4962,teneretur.,teneretur
4963,"pulvis,",puluis
4964,deponi,deponi
4965,laboraverim,laborauerim
4966,ferreis,ferreis
4967,instrumentis,instrumentis
4968,mecum,mecum
4969,"deportarem,",deportarem
4970,impressiones,impressiones
4971,pasca,pasca
4972,etc,etc
4973,ipsa.,ipsa
4974,avulsus,auulsus
4975,"oravit,",orauit
4976,sudor,sudor
4977,gutte,gute
4978,sanguinis,sanguinis
4979,decurrentis,decurrentis
4980,terram.,terram
4981,similis,similis
4982,similes,similes
4983,genuum,genuum
4984,manuum,manuum
4985,potest.,potest
4986,oppositio,oppositio
4987,"Iuda,",iuda
4988,superpositam,superpositam
4989,pulchram.,pulcram
4990,regiam,regiam
4991,iugiter,iugiter
4992,interpolite.,interpolite
4993,Ambe,ambe
4994,Accedit,accedit
4995,has,has
4996,"inferiore,",inferiore
4997,Fullonis,fulonis
4998,Rapsates,rapsates
4999,exprobravit,exprobrauit
5000,audiente,audiente
5001,populo,populo
5002,murum.,murum
5003,istas,istas
5004,"vallem,",ualem
5005,Acheldemach,aceldemac
5006,peregrinorum,peregrinorum
5007,emptus,emptus
5008,"argenteis,",argenteis
5009,Iudas,iudas
5010,vendidit,uendidit
5011,salvatorem.,saluatorem
5012,preciosa.,pretiosa
5013,Infra,infra
5014,collectis,colectis
5015,insimul,insimul
5016,secum,secum
5017,trahit,trahit
5018,"superioribus,",superioribus
5019,Anachot,anacot
5020,Helene,helene
5021,Iabenorum.,iabenorum
5022,auditur,auditur
5023,strepitus,strepitus
5024,descendentis,descendentis
5025,(26v),
5026,istum.,istum
5027,Iunguntur,iunguntur
5028,exeuntes,exeuntes
5029,piscins,piscins
5030,Gehennom,gehennom
5031,Tophet.,topet
5032,Zoeleth,soelet
5033,Rogel,rogel
5034,Adonias,adonias
5035,convivium,conuiuium
5036,regnare.,regnare
5037,Ysayas,isaias
5038,"propheta,",propeta
5039,serra,serra
5040,sectus.,sectus
5041,amenissima,amenissima
5042,viridaria,uiridaria
5043,plena.,plena
5044,ista.,ista
5045,Super,super
5046,Offensionis.,ofensionis
5047,lucus,lucus
5048,traiciebant,traiciebant
5049,filios,filios
5050,ignem,ignem
5051,colebant,colebant
5052,ydola,idola
5053,isto.,isto
5054,sufficient.Nunc,suficientnunc
5055,iam,iam
5056,accedamus.,accedamus
5057,excitantia,excitantia
5058,peragrandum,peragrandum
5059,singula.Ecclesia,singulecclesia
5060,rotunda,rotunda
5061,dyametrum,diametrum
5062,columpnas,columpnas
5063,72,
5064,"absides,",absides
5065,habent,habent
5066,exteriori,exteriori
5067,pedes.,pedes
5068,apertura,apertura
5069,"rotunda,",rotunda
5070,cripta,cripta
5071,divo.,diuo
5072,Golgothana,golgotana
5073,oblongo,oblongo
5074,"adiuncta,",adiuncta
5075,ambe,ambe
5076,uno,uno
5077,tecto.,tecto
5078,Spelunca,spelunca
5079,"pedes,",pedes
5080,exterius,exterius
5081,tecta,tecta
5082,"marmore,",marmore
5083,nuda,nuda
5084,sepulture.,sepulture
5085,Hostium,hoscium
5086,"oriente,",oriente
5087,dimissum,dimissum
5088,parvum.Tumba,paruumtumba
5089,intrantis,intrantis
5090,parietem,parietem
5091,"septentrionem,",septentrionem
5092,grisei,grisei
5093,"coloris,",coloris
5094,pavimenti,pauimenti
5095,"palmis,",palmis
5096,"pedum,",pedum
5097,"spelunca,",spelunca
5098,"clausa,",clausa
5099,haberi,haberi
5100,"extrinseco,",extrinseco
5101,nulla,nula
5102,fenestra,fenestra
5103,"intus,",intus
5104,pendent,pendent
5105,ix,
5106,lampades,lampades
5107,ministrantes,ministrantes
5108,intus.,intus
5109,(27r),
5110,"sepulchri,",sepulcri
5111,extra.,extra
5112,videbis,uidebis
5113,separatas.,separatas
5114,Intratur,intratur
5115,"alia,",alia
5116,sepulchrum.,sepulcrum
5117,exteriorem,exteriorem
5118,intraverunt,intrauerunt
5119,mulieres,mulieres
5120,dicebant,dicebant
5121,“Quis,quis
5122,revolvet,reuoluet
5123,lapidem”,lapidem
5124,c.,c
5125,advolutus,aduolutus
5126,hostio,hostio
5127,spelunce,spelunce
5128,"exterioris,",exterioris
5129,iacet,iacet
5130,<exti>,exti
5131,interioris,interioris
5132,istius.,iscius
5133,translata,translata
5134,superponendo,superponendo
5135,"altari,",altari
5136,"Calvarie,",caluarie
5137,128,
5138,crux,crux
5139,infixa,infixa
5140,ecclesie.,ecclesie
5141,Scissio,scissio
5142,petre,petre
5143,fixa,fixa
5144,capacitatis,capacitatis
5145,"recipiat,",recipiat
5146,imposui,imposui
5147,meum.,meum
5148,fixionis,fixionis
5149,pavimentum,pauimentum
5150,inferius,inferius
5151,color,color
5152,apparet,apparet
5153,scissione,scissione
5154,petre.,petre
5155,scissio,scissio
5156,manu,manu
5157,sinistra.,sinistra
5158,Altare,altare
5159,eundem,eundem
5160,"sinistre,",sinistre
5161,marmore.,marmore
5162,passione,passione
5163,missa,missa
5164,Christi.,cristi
5165,Pavimentum,pauimentum
5166,capelle,capele
5167,staratum,staratum
5168,parietes,parietes
5169,tecti,tecti
5170,musivo,musiuo
5171,decorati,decorati
5172,auro,auro
5173,purissimo.,purissimo
5174,Locus,locus
5175,fossa,fossa
5176,palmis,palmis
5177,meum.De,meumde
5178,"flagellatus,",flagelatus
5179,"Pylati,",pilati
5180,altaris,altaris
5181,fidelibus,fidelibus
5182,tangi,tangi
5183,videri,uideri
5184,osculari.,osculari
5185,porphiricico,porpiricico
5186,nigro,nigro
5187,maculas,maculas
5188,quasdam,quasdam
5189,rubeas,rubeas
5190,"naturaliter,",naturaliter
5191,credit,credit
5192,vulgus,uulgus
5193,tincturas,tincturas
5194,(27v),
5195,Constantinopolim.,constantinopolim
5196,48,
5197,Helena,helena
5198,inventa.,inuenta
5199,"fossa,",fossa
5200,cruces,cruces
5201,depositis,depositis
5202,corporibus,corporibus
5203,misse,misse
5204,"comportate,",comportate
5205,Helenam,helenam
5206,mundato,mundato
5207,Prope,prope
5208,"crucem,",crucem
5209,brachio,bracio
5210,"quidam,",quidam
5211,faciem,faciem
5212,Monstratur,monstratur
5213,stationis,stationis
5214,pendentis,pendentis
5215,cruce,cruce
5216,habetur,habetur
5217,fidelibus.,fidelibus
5218,pendens,pendens
5219,vertit,uertit
5220,"magna,",magna
5221,fossato,fossato
5222,"proiecta,",proiecta
5223,"inventa,",inuenta
5224,decenter,decenter
5225,ornata.Ante,ornataante
5226,Egiptiata,egiptiata
5227,orans,orans
5228,ymaginem,imaginem
5229,"Virginis,",uirginis
5230,divinitus,diuinitus
5231,remota,remota
5232,"fuisset,",fuisset
5233,intrare,intrare
5234,consolationem,consolationem
5235,responsum,responsum
5236,virgins,uirgins
5237,recepit.,recepit
5238,Ambitus,ambitus
5239,668,
5240,memet,memet
5241,74,
5242,Agrippa,agrippa
5243,apostolus,apostolus
5244,decollatus.,decolatus
5245,Deinde,deinde
5246,ascendendo,ascendendo
5247,reperies,reperies
5248,Cayphe,caipe
5249,"illuserunt,",iluserunt
5250,recluserunt,recluserunt
5251,mane.,mane
5252,carcer,carcer
5253,(28r),
5254,migravit,migrauit
5255,vixit,uixit
5256,ascensionem.,ascensionem
5257,grande,grande
5258,cenavit,cenauit
5259,"lavit,",lauit
5260,"tradidit,",tradidit
5261,aperuit,aperuit
5262,"pluries,",pluries
5263,Mathias,matias
5264,electus,electus
5265,Spiritus,spiritus
5266,sactus,sactus
5267,datus,datus
5268,impleta.,impleta
5269,adherent,adherent
5270,Salomonis,salomonis
5271,"aliorum,",aliorum
5272,eminenti,eminenti
5273,Nebo,nebo
5274,"Pascha,",pasca
5275,Deserti.,deserti
5276,pulchriorem,pulcriorem
5277,prospectum.,prospectum
5278,altiori,altiori
5279,leucas.De,leucasde
5280,magnitudine,magnitudine
5281,gyrum,girum
5282,exterior,exterior
5283,90,
5284,"turres,",turres
5285,200,
5286,"distantibus,",distantibus
5287,300,
5288,faciunt,faciunt
5289,60,
5290,turrem.,turrem
5291,Multiplicatis,multiplicatis
5292,passibus,passibus
5293,exibunt,exibunt
5294,5400,
5295,125,
5296,faciant,fatiant
5297,"stadium,",stadium
5298,diviseris,diuiseris
5299,"miliaria,",miliaria
5300,eversionis,euersionis
5301,eidem,eidem
5302,eversioni,euersioni
5303,interfuit.,interfuit
5304,"ampliaverunt,",ampliauerunt
5305,includentes,includentes
5306,dominici,dominici
5307,exclusus,exclusus
5308,ampliorem,ampliorem
5309,Iacobus,iacobus
5310,Ierosolimitanus,ierosolimitanus
5311,apostolice,apostolice
5312,"legatus,",legatus
5313,"composuit,",composuit
5314,scribens:,scribens
5315,“est,est
5316,nominata,nominata
5317,nominanda,nominanda
5318,ci(28v)vitas,ciuitas
5319,sublimi,sublimi
5320,valido,ualido
5321,"cincta,",cincta
5322,parvitate,paruitate
5323,angusta,angusta
5324,cuiquam,cuiquam
5325,fastidiosa.,fastidiosa
5326,namque,namque
5327,distantiam,distantiam
5328,bonus,bonus
5329,quadris,quadris
5330,cemento,cemento
5331,plumbo,plumbo
5332,indissolubiliter,indissolubiliter
5333,"compaginata,",compaginata
5334,Ipsa,ipsa
5335,Antonia,antonia
5336,habitaculum,habitaculum
5337,"fecit,",fecit
5338,"crucifixus,",crucifixus
5339,Elyus,elius
5340,"ipsam,",ipsam
5341,Tytum,titum
5342,Vespasianum,uespasianum
5343,"destructam,",destructam
5344,reparavit,reparauit
5345,crucifixionis,crucifixionis
5346,sepulture,sepulture
5347,"inclusit,",inclusit
5348,prius.”,prius
5349,mensuravi,mensuraui
5350,magnitudinem,magnitudinem
5351,"passionis,",passionis
5352,inveni,inueni
5353,veterem,ueterem
5354,380,
5355,"passus,",passus
5356,"ampliata,",ampliata
5357,verba,uerba
5358,Iacobi,iacobi
5359,patriarche.,patriarce
5360,portis,portis
5361,positis,positis
5362,disseramus.,disseramus
5363,hodie.,hodie
5364,octo,octo
5365,neccessarie,neccessarie
5366,patebit.,patebit
5367,"inferioris,",inferioris
5368,oppositus,oppositus
5369,voragines,uoragines
5370,"separabantur,",separabantur
5371,testudo,testudo
5372,"portam,",portam
5373,exitus,exitus
5374,testudinis,testudinis
5375,sycomore,sicomore
5376,laqueo,laqueo
5377,suspendit.,suspendit
5378,piscium,piscium
5379,(29r),
5380,Dyospoli,diospoli
5381,"maritima,",maritima
5382,adducebantur,adducebantur
5383,pisces.,pisces
5384,negociatorum,negotiatorum
5385,Ethyopiam.,etiopiam
5386,fullonis,fulonis
5387,ibat,ibat
5388,sinistra,sinistra
5389,dextra,dextra
5390,Iopen.,iopen
5391,intervallum,interualum
5392,ducebat,ducebat
5393,"Raphaim,",rapaim
5394,Bethsura,betsura
5395,"Ethyopiam,",etiopiam
5396,negotiatores,negotiatores
5397,merces,merces
5398,varias,uarias
5399,ducebant.,ducebant
5400,Emaus,emaus
5401,Ramacha,ramaca
5402,"adducebantur,",adducebantur
5403,imminebant.Secunda,iminebantsecunda
5404,respiciens,respiciens
5405,vetus,uetus
5406,manserat,manserat
5407,Iebuseorum.,iebuseorum
5408,iudiciaria,iuditiaria
5409,"agebatur,",agebatur
5410,iudicata,iudicata
5411,sententiam,sententiam
5412,executioni,executioni
5413,mandabantur.,mandabantur
5414,"licostratos,",licostratos
5415,"iudicii,",iudicii
5416,porte,porte
5417,novo,nouo
5418,respondet,respondet
5419,Betheron,beteron
5420,Gabaoth,gabaot
5421,"Martyrum,",martirum
5422,Leo,leo
5423,martyrum,martirum
5424,"sepelivit,",sepeliuit
5425,Cosdre,cosdre
5426,Persarum,persarum
5427,"interfecerat,",interfecerat
5428,continetur.,continetur
5429,conveniebat,conueniebat
5430,novus,nouus
5431,veteri.,ueteri
5432,includendum.,includendum
5433,lapidatus.,lapidatus
5434,Samariam,samariam
5435,Galyleam.Quarta,galileamquarta
5436,"muri,",muri
5437,Libro,libro
5438,Ioas,ioas
5439,Amasi(29v)am,amasiam
5440,"Iherusalem,",ierusalem
5441,interrupit,interrupit
5442,anguli,anguli
5443,cubitis.,cubitis
5444,Dicta,dicta
5445,Anacoth,anacot
5446,Beniamin.,beniamin
5447,inducebantur,inducebantur
5448,pinea,pinea
5449,Quinta,quinta
5450,"stercoris,",stercoris
5451,desecendebant,desecendebant
5452,pluvie,pluuie
5453,"populosa,",populosa
5454,habitationnis.Sexta,habitationnissexta
5455,gregris,gregris
5456,immolandi.,imolandi
5457,Eratque,eret
5458,probatica,probatica
5459,iactus.,iactus
5460,imminebat,iminebat
5461,Phaselus,paselus
5462,draconis,draconis
5463,Iordanem.Septima,iordanemseptima
5464,aurea,aurea
5465,atrio,atrio
5466,scito,scito
5467,siquidem,siquidem
5468,compendium,compendium
5469,testudinem,testudinem
5470,"quandam,",quandam
5471,speciosa.,spetiosa
5472,Iordanem.Octava,iordanemoctaua
5473,superiore,superiore
5474,"australis,",australis
5475,"Templi,",templi
5476,"Aquarum,",aquarum
5477,neccessarie.,neccessarie
5478,necessaria,necessaria
5479,"(30r),",
5480,"poterat,",poterat
5481,"impediebat,",impediebat
5482,preruptus,preruptus
5483,erat.Montes,eratmontes
5484,isti:,isti
5485,summitate,sumitate
5486,celum.,celum
5487,pateat,pateat
5488,ascendit.,ascendit
5489,"ascendit,",ascendit
5490,inpressa,inpressa
5491,"tenebat,",tenebat
5492,destructum,destructum
5493,mameria.,mameria
5494,Lapis,lapis
5495,obstructione,obstructione
5496,ostii,ostii
5497,"calcedanum,",calcedanum
5498,immittere,imitere
5499,manum,manum
5500,tangere,tangere
5501,"vestigia,",uestigia
5502,Pelagia,pelagia
5503,famosa,famosa
5504,"meretrix,",meretrix
5505,graciam,gratiam
5506,penitencie,penitencie
5507,contritionis,contritionis
5508,conferendo,conferendo
5509,peccatoribus,peccatoribus
5510,exemplum.,exemplum
5511,peccato,peccato
5512,mortali,mortali
5513,tumbam,tumbam
5514,proximum,proximum
5515,veritatem.,ueritatem
5516,transeunt,transeunt
5517,"ecclesia,",ecclesia
5518,"orare,",orare
5519,dominicam,dominicam
5520,orationem,orationem
5521,scripsit.Mons,scripsitmons
5522,intermediam,intermediam
5523,separantur.,separantur
5524,Salomon,salomon
5525,Moloch,moloc
5526,posuerat,posuerat
5527,e,e
5528,provocando.,prouocando
5529,Tophet,topet
5530,Gehennon.,gehennon
5531,respectum,respectum
5532,Ager,ager
5533,altitudinis,altitudinis
