,before,after
3784,morem,morem
3785,Sancte.,sancte
3786,Breviter,breuiter
3787,nescio,nestio
3788,quid,quid
3789,tantam,tantam
3790,miseriam,miseriam
3791,"devenit,",deuenit
3792,olerum,olerum
3793,decreverat,decreuerat
3794,vinea,uinea
3795,Naboch,naboc
3796,"Iezrahelite,",iesrahelite
3797,"suam,",suam
3798,revera,reuera
3799,iusto,iusto
3800,(18v),
3801,commutatum.,comutatum
3802,Situs,situs
3803,prospectus,prospectus
3804,Iopes,iopes
3805,Antipatridam,antipatridam
3806,quoque,quoque
3807,Accon.,accon
3808,olivis,oliuis
3809,requirit,requirit
3810,mundus,mundus
3811,Tersa,tersa
3812,"alto,",alto
3813,constructionem,constructionem
3814,aliquanto,aliquanto
3815,"regnaverunt,",regnauerunt
3816,Manasse.,manasse
3817,itur,itur
3818,ceteros,ceteros
3819,altum.,altum
3820,Macheronta.,maceronta
3821,Sychen,sicen
3822,dexteram,dexteram
3823,Jeroboam,ieroboam
3824,Nabach,nabac
3825,vitulis,uitulis
3826,aureis,aureis
3827,peccare,peccare
3828,corrumpti,corrumpti
3829,appellant,appelant
3830,nescientes,nescientes
3831,Bethel.Inde,betelinde
3832,priore,priore
3833,vitulus,uitulus
3834,aureus,aureus
3835,positus,positus
3836,"fuerit,",fuerit
3837,Ieronimus,ieronimus
3838,potius,pocius
3839,"velle,",aute
3840,eligat,eligat
3841,voluerit.,uoluerit
3842,Certum,certum
3843,Inter,inter
3844,duos,duos
3845,Neapolis,neapolis
3846,amenitate,amenitate
3847,nimia,nimia
3848,deliciis,deliciis
3849,muniri,muniri
3850,ullo,ulo
3851,modo.,modo
3852,restat,restat
3853,hostibus,hostibus
3854,accedentibus,accedentibus
3855,"unam,",unam
3856,habitatores,habitatores
3857,fugiant,fugiant
3858,pauciores.,pautiores
3859,altissimos,altissimos
3860,iactare,iactare
3861,manuali.,manuali
3862,Jacob,iacob
3863,sedens,sedens
3864,puteum,puteum
3865,potum,potum
3866,petivit,peciuit
3867,Samaritana.,samaritana
3868,dextram,dextram
3869,excelsus,excelsus
3870,capita,capita
3871,"Garizim,",garisim
3872,Ebal,ebal
3873,(19r),
3874,Garizim,garisim
3875,edificato,edificato
3876,altari,altari
3877,scripsit,scripsit
3878,Deutronomium,deutronomium
3879,bendicentes,bendicentes
3880,stabant,stabant
3881,"maledicentes,",maledicentes
3882,respondebant,respondebant
3883,preceptum,preceptum
3884,Deut.,deut
3885,Phanum,panum
3886,antiquisimum,antiquisimum
3887,Jovis,iouis
3888,olimpiaci,olimpiaci
3889,hospitale,hospitale
3890,Ierosolimorum,ierosolimorum
3891,edificaverat,edificauerat
3892,Sanabalach,sanabalac
3893,dux,dux
3894,flumem,flumem
3895,genero,genero
3896,summus,sumus
3897,pontifex.,pontifex
3898,permansit,permansit
3899,templum,templum
3900,destructionem,destructionem
3901,factam,factam
3902,"Romanos,",romanos
3903,videntur.,uidentur
3904,Hunc,hunc
3905,demostrando,demostrando
3906,innuisse,innuisse
3907,Samaritana,samaritana
3908,‘patres,patres
3909,adoraverunt.’,adorauerunt
3910,fontis,fontis
3911,quoddam,quoddam
3912,Sychem,sicem
3913,"antiqua,",antiqua
3914,marmoreis,marmoreis
3915,columpnis,columpnis
3916,"mirabilibus,",mirabilibus
3917,mansione,mansione
3918,amenissimo,amenissimo
3919,caret,caret
3920,fecundum.,fecundum
3921,iactu,iactu
3922,arcuum.,arcuum
3923,Neapolim,neapolim
3924,Thebes.,tebes
3925,fonti,fonti
3926,predium,predium
3927,dedit,dedit
3928,suos,suos
3929,eque,eque
3930,similem,similem
3931,deliciis.In,deliciisin
3932,sepulta,sepulta
3933,ossa,ossa
3934,allata,alata
