,shared_word,version a name,version a count,version b name,version b count
267,fluminibus,london,3,zwickau,2
268,canticis,london,3,zwickau,3
269,iardini,london,3,zwickau,1
270,sacre,london,3,zwickau,2
271,scripture,london,3,zwickau,2
272,episcopos,london,3,zwickau,2
273,marmoream,london,3,zwickau,2
274,dominica,london,3,zwickau,2
275,gloriosam,london,3,zwickau,1
276,milites,london,3,zwickau,1
277,bone,london,3,zwickau,2
278,nusquam,london,3,zwickau,2
279,uenerationi,london,3,zwickau,2
280,canis,london,3,zwickau,1
281,mundo,london,3,zwickau,3
282,uino,london,3,zwickau,3
283,nepin,london,3,zwickau,1
284,opera,london,3,zwickau,2
285,humiliter,london,3,zwickau,3
286,rigat,london,3,zwickau,3
287,circuit,london,3,zwickau,2
288,ipsos,london,3,zwickau,2
289,rotundus,london,3,zwickau,3
290,monumentum,london,3,zwickau,2
291,textus,london,3,zwickau,2
292,uxoribus,london,3,zwickau,3
293,firma,london,3,zwickau,3
294,genuit,london,3,zwickau,3
295,sumptuosa,london,3,zwickau,4
296,arciepiscopi,london,3,zwickau,4
297,diete,london,3,zwickau,3
298,iudicum,london,3,zwickau,1
299,ortu,london,3,zwickau,2
300,traconitidem,london,3,zwickau,3
301,uales,london,3,zwickau,2
302,georgiani,london,3,zwickau,4
303,fructibus,london,3,zwickau,2
304,tribum,london,3,zwickau,1
305,sabulon,london,3,zwickau,2
306,isacar,london,3,zwickau,1
307,piscibus,london,3,zwickau,3
308,apostolorum,london,3,zwickau,4
309,naui,london,3,zwickau,2
310,ostio,london,3,zwickau,2
311,cameli,london,3,zwickau,3
312,principatum,london,3,zwickau,3
313,pinguis,london,3,zwickau,2
314,solum,london,3,zwickau,4
315,altos,london,3,zwickau,3
316,iosepum,london,3,zwickau,2
317,dictus,london,3,zwickau,1
318,diuersitas,london,3,zwickau,2
319,gad,london,3,zwickau,1
320,itaque,london,3,zwickau,1
321,quamdiu,london,3,zwickau,1
322,inditia,london,3,zwickau,1
323,inhabitant,london,3,zwickau,2
324,benedictum,london,3,zwickau,1
325,sue,london,3,zwickau,3
326,sagita,london,3,zwickau,2
327,ter,london,3,zwickau,2
328,frumento,london,3,zwickau,2
329,propetarum,london,3,zwickau,4
330,metati,london,3,zwickau,2
331,delicatus,london,3,zwickau,3
332,modernis,london,3,zwickau,2
333,antequam,london,3,zwickau,4
334,iter,london,3,zwickau,3
335,honorant,london,3,zwickau,2
336,benigne,london,3,zwickau,1
337,potuit,london,3,zwickau,4
338,reuera,london,3,zwickau,3
339,nimia,london,3,zwickau,2
340,capita,london,3,zwickau,3
341,campos,london,3,zwickau,2
342,galgale,london,3,zwickau,2
343,serpentes,london,3,zwickau,3
344,mali,london,3,zwickau,2
345,barbare,london,3,zwickau,2
346,habitationis,london,3,zwickau,3
347,exit,london,3,zwickau,4
348,ilas,london,3,zwickau,5
349,latuisse,london,3,zwickau,2
350,herodis,london,3,zwickau,1
351,cultores,london,3,zwickau,2
352,ruta,london,3,zwickau,2
353,earum,london,3,zwickau,3
354,marmorea,london,3,zwickau,3
355,orationis,london,3,zwickau,1
356,preterquam,london,3,zwickau,2
357,talis,london,3,zwickau,3
358,curuabatur,london,3,zwickau,2
359,anguli,london,3,zwickau,3
360,predictam,london,3,zwickau,2
361,paulo,london,3,zwickau,1
362,natatoriam,london,3,zwickau,3
363,facientes,london,3,zwickau,2
364,repletionibus,london,3,zwickau,2
365,capelule,london,3,zwickau,1
366,cori,london,3,zwickau,2
367,alterius,london,3,zwickau,4
368,populo,london,3,zwickau,3
369,pretiosa,london,3,zwickau,1
370,secum,london,3,zwickau,2
371,filios,london,3,zwickau,2
372,columpnas,london,3,zwickau,3
373,sepulture,london,3,zwickau,3
374,coloris,london,3,zwickau,3
375,fixa,london,3,zwickau,1
376,inferius,london,3,zwickau,3
377,missa,london,3,zwickau,1
378,magnitudine,london,3,zwickau,4
379,ueterem,london,3,zwickau,6
380,portis,london,3,zwickau,3
381,partis,london,3,zwickau,1
382,arcam,london,3,zwickau,1
383,nauem,london,3,zwickau,2
384,racel,london,3,zwickau,1
385,mortem,london,3,zwickau,4
386,uineas,london,3,zwickau,2
387,uecte,london,3,zwickau,2
388,hospitio,london,3,zwickau,1
389,isaac,london,3,zwickau,2
390,miror,london,3,zwickau,3
391,animal,london,3,zwickau,3
392,hominem,london,3,zwickau,2
393,neelescol,london,3,zwickau,2
394,unquam,london,3,zwickau,5
395,possederunt,london,3,zwickau,5
396,bubus,london,3,zwickau,1
397,maiores,london,3,zwickau,4
398,durant,london,3,zwickau,3
399,nimiam,london,3,zwickau,3
400,arbore,london,3,zwickau,3
401,grana,london,3,zwickau,2
402,bibunt,london,3,zwickau,3
403,habentur,london,3,zwickau,2
404,latinos,london,3,zwickau,3
405,nubiani,london,3,zwickau,2
406,audire,london,3,zwickau,3
407,familia,london,3,zwickau,3
408,ponunt,london,3,zwickau,3
409,cauda,london,3,zwickau,2
410,presides,london,3,zwickau,3
411,sicilia,london,3,zwickau,2
412,sicilie,london,3,zwickau,1
413,uiuentes,london,3,zwickau,3
414,deuoti,london,3,zwickau,3
415,prelatus,london,3,zwickau,3
416,mulierum,london,3,zwickau,3
417,deuotum,london,3,zwickau,3
418,monacus,london,3,zwickau,3
419,sacerdos,london,3,zwickau,5
420,horam,london,3,zwickau,2
421,continebit,london,3,zwickau,3
422,perdet,london,3,zwickau,3
423,principes,london,3,zwickau,3
424,curia,london,3,zwickau,2
425,gregorius,london,3,zwickau,3
426,regi,london,3,zwickau,1
427,reuerenter,london,3,zwickau,2
428,alcius,london,3,zwickau,4
429,redii,london,3,zwickau,1
430,maritimam,london,3,zwickau,2
431,ascensa,london,3,zwickau,3
432,nauigaui,london,3,zwickau,3
433,intrans,london,3,zwickau,3
434,naues,london,3,zwickau,3
435,separatur,london,3,zwickau,3
436,damiatam,london,3,zwickau,3
437,nilus,london,3,zwickau,3
438,insulam,london,3,zwickau,3
439,tebaidos,london,3,zwickau,3
440,mercatores,london,3,zwickau,4
441,calabriam,london,3,zwickau,2
442,sumitatem,london,3,zwickau,4
443,maius,london,3,zwickau,1
444,citra,london,3,zwickau,1
445,nouerant,london,2,zwickau,2
446,positi,london,2,zwickau,1
447,uideret,london,2,zwickau,2
448,uirga,london,2,zwickau,1
449,uisis,london,2,zwickau,1
450,resonat,london,2,zwickau,1
451,desiderio,london,2,zwickau,2
452,descriptio,london,2,zwickau,1
453,cecidit,london,2,zwickau,3
454,frantia,london,2,zwickau,2
455,tustia,london,2,zwickau,2
456,eufraten,london,2,zwickau,1
457,mesopotamie,london,2,zwickau,2
458,celes,london,2,zwickau,2
459,flumine,london,2,zwickau,3
460,riuo,london,2,zwickau,1
461,ualanie,london,2,zwickau,1
462,cadit,london,2,zwickau,2
463,episcopalis,london,2,zwickau,2
464,predicto,london,2,zwickau,2
465,tripolis,london,2,zwickau,6
466,bericum,london,2,zwickau,1
467,damascus,london,2,zwickau,1
468,predicte,london,2,zwickau,1
469,incipiens,london,2,zwickau,3
470,esebon,london,2,zwickau,4
471,adiacencium,london,2,zwickau,1
472,maiori,london,2,zwickau,2
473,iacobi,london,2,zwickau,3
474,cessit,london,2,zwickau,1
475,primum,london,2,zwickau,3
476,munitam,london,2,zwickau,1
477,fossatis,london,2,zwickau,1
478,pertinent,london,2,zwickau,2
479,nauibus,london,2,zwickau,1
480,sum,london,2,zwickau,2
481,canalem,london,2,zwickau,1
482,reditus,london,2,zwickau,1
483,conuenire,london,2,zwickau,1
484,uenam,london,2,zwickau,2
485,mirabiles,london,2,zwickau,1
486,instaurata,london,2,zwickau,2
487,rotundam,london,2,zwickau,2
488,fronte,london,2,zwickau,2
489,continuatur,london,2,zwickau,2
490,palaciis,london,2,zwickau,1
491,notus,london,2,zwickau,2
492,requiescit,london,2,zwickau,1
493,reliquo,london,2,zwickau,1
494,columpnam,london,2,zwickau,2
495,palmarum,london,2,zwickau,1
496,antilibano,london,2,zwickau,1
497,teutonia,london,2,zwickau,2
498,adiacens,london,2,zwickau,1
499,deserta,london,2,zwickau,3
