,feature_name,word,zwickau,london,breslau,version with higher score
24073,count_vectorizer_5_gram,lamma,2,2,1,zwickau
24074,count_vectorizer_5_gram,amma_,2,2,1,zwickau
24075,count_vectorizer_5_gram,onsum,2,3,2,london
24076,count_vectorizer_5_gram,nsump,2,2,2,zwickau
24077,count_vectorizer_5_gram,i_ioc,2,0,0,zwickau
24078,count_vectorizer_5_gram,hapat,2,0,1,zwickau
24079,count_vectorizer_5_gram,apata,2,2,1,zwickau
24080,count_vectorizer_5_gram,pata_,2,1,1,zwickau
24081,count_vectorizer_5_gram,scidi,2,0,0,zwickau
24082,count_vectorizer_5_gram,ii_co,2,1,0,zwickau
24083,count_vectorizer_5_gram,ra_ro,2,3,1,london
24084,count_vectorizer_5_gram,_obse,2,3,1,london
24085,count_vectorizer_5_gram,ud_ip,2,0,0,zwickau
24086,count_vectorizer_5_gram,pse_t,2,2,0,zwickau
24087,count_vectorizer_5_gram,se_te,2,3,0,london
24088,count_vectorizer_5_gram,ur_na,2,1,0,zwickau
24089,count_vectorizer_5_gram,r_nar,2,1,0,zwickau
24090,count_vectorizer_5_gram,lta_d,2,2,0,zwickau
24091,count_vectorizer_5_gram,iem_d,2,1,0,zwickau
24092,count_vectorizer_5_gram,d_100,2,1,0,zwickau
24093,count_vectorizer_5_gram,100_l,2,0,0,zwickau
24094,count_vectorizer_5_gram,00_le,2,0,0,zwickau
24095,count_vectorizer_5_gram,his_d,2,2,0,zwickau
24096,count_vectorizer_5_gram,ere_1,2,3,0,london
24097,count_vectorizer_5_gram,_nemi,2,2,2,zwickau
24098,count_vectorizer_5_gram,nemin,2,2,2,zwickau
24099,count_vectorizer_5_gram,_quic,2,2,0,zwickau
24100,count_vectorizer_5_gram,beren,2,4,0,london
24101,count_vectorizer_5_gram,ent_h,2,3,0,london
24102,count_vectorizer_5_gram,i_dan,2,2,1,zwickau
24103,count_vectorizer_5_gram,dan_e,2,2,1,zwickau
24104,count_vectorizer_5_gram,ocaue,2,1,0,zwickau
24105,count_vectorizer_5_gram,dam_n,2,3,1,london
24106,count_vectorizer_5_gram,epe_l,2,0,1,zwickau
24107,count_vectorizer_5_gram,st_om,2,1,1,zwickau
24108,count_vectorizer_5_gram,ael_a,2,4,0,london
24109,count_vectorizer_5_gram,hec_c,2,3,2,london
24110,count_vectorizer_5_gram,ppi_p,2,0,1,zwickau
24111,count_vectorizer_5_gram,tea_p,2,3,1,london
24112,count_vectorizer_5_gram,pus_t,2,1,1,zwickau
24113,count_vectorizer_5_gram,m_ces,2,2,1,zwickau
24114,count_vectorizer_5_gram,m_tyb,2,0,0,zwickau
24115,count_vectorizer_5_gram,berii,2,1,1,zwickau
24116,count_vectorizer_5_gram,erii_,2,1,1,zwickau
24117,count_vectorizer_5_gram,rii_c,2,1,1,zwickau
