,feature_name,word,zwickau,london,version with higher score
257,word_counter,modo,14,16,london
258,word_counter,esset,14,16,london
259,word_counter,prima,14,13,zwickau
260,word_counter,suis,14,18,london
261,word_counter,tantum,14,17,london
262,word_counter,mortuum,14,20,london
263,word_counter,ueritate,14,14,equal
264,word_counter,rex,14,21,london
265,word_counter,fuerit,14,17,london
266,word_counter,regem,14,14,equal
267,word_counter,40,14,8,zwickau
268,word_counter,alii,14,15,london
269,word_counter,iacere,14,19,london
270,word_counter,aque,14,14,equal
271,word_counter,fonte,14,21,london
272,word_counter,postea,14,15,london
273,word_counter,fuisse,14,24,london
274,word_counter,duo,14,12,zwickau
275,word_counter,uinum,14,10,zwickau
276,word_counter,quondam,14,15,london
277,word_counter,diebus,14,17,london
278,word_counter,fecit,14,18,london
279,word_counter,insuper,14,16,london
280,word_counter,leuca,14,16,london
281,word_counter,egiptum,13,8,zwickau
282,word_counter,amplius,13,17,london
283,word_counter,partibus,13,16,london
284,word_counter,egipti,13,16,london
285,word_counter,preter,13,14,london
286,word_counter,multe,13,14,london
287,word_counter,capharnaum,13,10,zwickau
288,word_counter,nomine,13,17,london
289,word_counter,gelboe,13,13,equal
290,word_counter,crescunt,13,12,zwickau
291,word_counter,satis,13,14,london
292,word_counter,primo,13,19,london
293,word_counter,me,13,26,london
294,word_counter,iosue,13,14,london
295,word_counter,8,13,15,london
296,word_counter,hinc,13,7,zwickau
297,word_counter,cetera,13,10,zwickau
298,word_counter,penitus,13,12,zwickau
299,word_counter,sinistram,13,21,london
300,word_counter,tribu,13,22,london
301,word_counter,plurimum,13,9,zwickau
302,word_counter,riuus,13,13,equal
303,word_counter,christi,12,11,zwickau
304,word_counter,oculis,12,10,zwickau
305,word_counter,illi,12,12,equal
306,word_counter,oliueti,12,16,london
307,word_counter,dei,12,17,london
308,word_counter,ciuitatibus,12,9,zwickau
309,word_counter,sarracenis,12,7,zwickau
310,word_counter,regnum,12,6,zwickau
311,word_counter,secunda,12,14,london
312,word_counter,castro,12,14,london
313,word_counter,distans,12,14,london
314,word_counter,iosephus,12,17,london
315,word_counter,rei,12,13,london
316,word_counter,australi,12,16,london
317,word_counter,leuce,12,10,zwickau
318,word_counter,fructus,12,12,equal
319,word_counter,aquarum,12,12,equal
320,word_counter,lapidis,12,15,london
321,word_counter,muro,12,13,london
322,word_counter,eodem,12,15,london
323,word_counter,sua,12,12,equal
324,word_counter,½,12,2,zwickau
325,word_counter,ecclesiam,12,15,london
326,word_counter,7,12,15,london
327,word_counter,ualle,12,17,london
328,word_counter,iterum,12,12,equal
329,word_counter,turris,12,13,london
330,word_counter,extra,12,18,london
331,word_counter,iosaphat,12,10,zwickau
332,word_counter,rupe,11,14,london
333,word_counter,facta,11,20,london
334,word_counter,preterea,11,7,zwickau
335,word_counter,nocte,11,10,zwickau
336,word_counter,eorum,11,15,london
337,word_counter,dan,11,19,london
338,word_counter,mundi,11,13,london
339,word_counter,metropolis,11,13,london
340,word_counter,syrie,11,8,zwickau
341,word_counter,terminatur,11,14,london
342,word_counter,dietas,11,13,london
343,word_counter,occurrit,11,6,zwickau
344,word_counter,palestine,11,6,zwickau
345,word_counter,iuda,11,21,london
346,word_counter,saul,11,8,zwickau
347,word_counter,sacerdotes,11,12,london
348,word_counter,munita,11,8,zwickau
349,word_counter,semper,11,13,london
350,word_counter,uix,11,11,equal
351,word_counter,dixit,11,11,equal
352,word_counter,legitur,11,14,london
353,word_counter,ipse,11,13,london
354,word_counter,ortus,11,10,zwickau
355,word_counter,rege,11,15,london
356,word_counter,eos,11,14,london
357,word_counter,dixerunt,11,9,zwickau
358,word_counter,adiacet,11,13,london
359,word_counter,esau,11,18,london
360,word_counter,occidente,11,14,london
361,word_counter,uirginis,11,12,london
362,word_counter,ymmo,11,0,zwickau
363,word_counter,rama,11,12,london
364,word_counter,omni,11,12,london
365,word_counter,gyon,11,7,zwickau
366,word_counter,ingreditur,10,13,london
367,word_counter,ioseph,10,10,equal
368,word_counter,meis,10,10,equal
369,word_counter,nichil,10,8,zwickau
370,word_counter,ipsis,10,10,equal
371,word_counter,castra,10,10,equal
372,word_counter,tribuum,10,9,zwickau
373,word_counter,partes,10,12,london
374,word_counter,fluuium,10,10,equal
375,word_counter,longum,10,15,london
376,word_counter,aquilone,10,15,london
377,word_counter,cesarea,10,10,equal
378,word_counter,petra,10,7,zwickau
379,word_counter,campus,10,10,equal
380,word_counter,olim,10,8,zwickau
381,word_counter,uocatur,10,15,london
382,word_counter,moab,10,10,equal
383,word_counter,magnam,10,6,zwickau
384,word_counter,tribus,10,21,london
385,word_counter,casale,10,8,zwickau
386,word_counter,illuc,10,14,london
387,word_counter,occidentis,10,8,zwickau
388,word_counter,capella,10,12,london
389,word_counter,spelunca,10,13,london
390,word_counter,filius,10,12,london
391,word_counter,iohannis,10,12,london
392,word_counter,procedit,10,11,london
393,word_counter,istum,10,8,zwickau
394,word_counter,milia,10,10,equal
395,word_counter,cedar,10,8,zwickau
396,word_counter,passus,10,13,london
397,word_counter,orientali,10,9,zwickau
398,word_counter,beate,10,13,london
399,word_counter,templum,10,12,london
400,word_counter,babiloniam,10,6,zwickau
401,word_counter,piscina,10,12,london
402,word_counter,poma,10,10,equal
403,word_counter,ueni,10,15,london
404,word_counter,tot,9,12,london
405,word_counter,greci,9,8,zwickau
406,word_counter,bersabee,9,10,london
407,word_counter,gloriosa,9,10,london
408,word_counter,statim,9,16,london
409,word_counter,montana,9,11,london
410,word_counter,sepe,9,10,london
411,word_counter,alias,9,7,zwickau
412,word_counter,singulis,9,10,london
413,word_counter,magis,9,9,equal
414,word_counter,philistim,9,0,zwickau
415,word_counter,palestina,9,5,zwickau
416,word_counter,fluuio,9,6,zwickau
417,word_counter,babilonia,9,3,zwickau
418,word_counter,extenditur,9,13,london
419,word_counter,peregrinorum,9,8,zwickau
420,word_counter,quorum,9,10,london
421,word_counter,communiter,9,7,zwickau
422,word_counter,istam,9,13,london
423,word_counter,amon,9,8,zwickau
424,word_counter,sepulcri,9,0,zwickau
425,word_counter,igitur,9,15,london
426,word_counter,aqua,9,14,london
427,word_counter,iactum,9,9,equal
428,word_counter,tunc,9,12,london
429,word_counter,anno,9,8,zwickau
430,word_counter,intrat,9,7,zwickau
431,word_counter,uille,9,9,equal
432,word_counter,sequitur,9,3,zwickau
433,word_counter,bene,9,10,london
434,word_counter,infra,9,17,london
435,word_counter,ideo,9,7,zwickau
436,word_counter,glossa,9,7,zwickau
437,word_counter,fuerunt,9,7,zwickau
438,word_counter,hic,9,8,zwickau
439,word_counter,toto,9,7,zwickau
440,word_counter,fontem,9,13,london
441,word_counter,duobus,9,9,equal
442,word_counter,neptalim,9,12,london
443,word_counter,eas,9,9,equal
444,word_counter,medium,9,8,zwickau
445,word_counter,uno,9,8,zwickau
446,word_counter,bonum,9,6,zwickau
447,word_counter,thabor,9,13,london
448,word_counter,pharan,9,8,zwickau
449,word_counter,aliquis,9,11,london
450,word_counter,torrens,9,8,zwickau
451,word_counter,samaria,9,9,equal
452,word_counter,murus,9,9,equal
453,word_counter,balsami,9,7,zwickau
454,word_counter,aquam,9,9,equal
455,word_counter,annis,9,8,zwickau
456,word_counter,s,9,0,zwickau
457,word_counter,quid,8,7,zwickau
458,word_counter,uidere,8,11,london
459,word_counter,nos,8,11,london
460,word_counter,ihesu,8,13,london
461,word_counter,desuper,8,14,london
462,word_counter,corpus,8,8,equal
463,word_counter,suum,8,14,london
464,word_counter,crucis,8,5,zwickau
465,word_counter,possunt,8,6,zwickau
466,word_counter,pedibus,8,9,london
467,word_counter,pluries,8,7,zwickau
468,word_counter,illius,8,10,london
469,word_counter,quodam,8,9,london
470,word_counter,iordane,8,14,london
471,word_counter,bona,8,7,zwickau
472,word_counter,soldano,8,8,equal
473,word_counter,protenditur,8,7,zwickau
474,word_counter,coniungitur,8,11,london
475,word_counter,arabia,8,8,equal
476,word_counter,quarum,8,7,zwickau
477,word_counter,tercia,8,5,zwickau
478,word_counter,appellauit,8,6,zwickau
479,word_counter,sint,8,9,london
480,word_counter,libani,8,1,zwickau
481,word_counter,deserto,8,9,london
482,word_counter,galilea,8,9,london
483,word_counter,regum,8,17,london
484,word_counter,magnus,8,6,zwickau
485,word_counter,filiorum,8,6,zwickau
486,word_counter,dimidie,8,4,zwickau
487,word_counter,sydonem,8,8,equal
488,word_counter,asser,8,2,zwickau
489,word_counter,filiis,8,7,zwickau
490,word_counter,cyson,8,9,london
491,word_counter,libro,8,7,zwickau
492,word_counter,regio,8,10,london
493,word_counter,habundans,8,10,london
494,word_counter,multis,8,10,london
495,word_counter,tam,8,9,london
496,word_counter,dextram,8,8,equal
497,word_counter,unus,8,9,london
498,word_counter,quantitate,8,11,london
499,word_counter,iactus,8,12,london
500,word_counter,alto,8,10,london
501,word_counter,lapis,8,10,london
502,word_counter,tyro,8,7,zwickau
503,word_counter,reges,8,7,zwickau
504,word_counter,arachas,8,9,london
505,word_counter,genesis,8,11,london
506,word_counter,100,8,5,zwickau
507,word_counter,sui,8,6,zwickau
508,word_counter,orientalis,8,8,equal
509,word_counter,ipsi,8,6,zwickau
510,word_counter,alium,8,5,zwickau
511,word_counter,modicum,8,7,zwickau
512,word_counter,cui,8,7,zwickau
513,word_counter,sanctum,8,9,london
514,word_counter,uestigia,8,11,london
515,word_counter,uerbum,8,7,zwickau
516,word_counter,uidentur,8,11,london
517,word_counter,stadia,8,7,zwickau
518,word_counter,habuit,8,14,london
519,word_counter,aliquantulum,8,5,zwickau
520,word_counter,descendit,8,13,london
521,word_counter,dexteram,8,7,zwickau
522,word_counter,palacium,8,9,london
523,word_counter,lempna,8,0,zwickau
524,word_counter,parum,8,9,london
525,word_counter,murum,8,8,equal
526,word_counter,coram,7,8,london
527,word_counter,mariam,7,6,zwickau
528,word_counter,ihesum,7,10,london
529,word_counter,omnium,7,3,zwickau
530,word_counter,locorum,7,7,equal
531,word_counter,uiri,7,6,zwickau
532,word_counter,plura,7,9,london
533,word_counter,omnis,7,4,zwickau
534,word_counter,fratrum,7,5,zwickau
535,word_counter,fui,7,7,equal
536,word_counter,longitudo,7,8,london
537,word_counter,latitudo,7,7,equal
538,word_counter,occidentali,7,6,zwickau
539,word_counter,situs,7,5,zwickau
540,word_counter,aliqua,7,9,london
541,word_counter,diuersis,7,12,london
542,word_counter,rubrum,7,7,equal
543,word_counter,phenicis,7,7,equal
544,word_counter,filio,7,7,equal
545,word_counter,quarta,7,11,london
546,word_counter,lybano,7,11,london
547,word_counter,quoddam,7,7,equal
548,word_counter,bethsan,7,10,london
549,word_counter,ei,7,11,london
550,word_counter,litus,7,8,london
551,word_counter,carmelum,7,6,zwickau
552,word_counter,sibi,7,8,london
553,word_counter,fertilis,7,8,london
554,word_counter,colligitur,7,7,equal
555,word_counter,modico,7,9,london
556,word_counter,stetit,7,7,equal
557,word_counter,ihesus,7,6,zwickau
558,word_counter,quidem,7,11,london
559,word_counter,bonis,7,7,equal
560,word_counter,munitum,7,7,equal
561,word_counter,certo,7,10,london
562,word_counter,facit,7,7,equal
563,word_counter,aquilonali,7,5,zwickau
564,word_counter,edificauit,7,7,equal
565,word_counter,habundat,7,10,london
566,word_counter,alta,7,7,equal
567,word_counter,longo,7,7,equal
568,word_counter,lachis,7,3,zwickau
569,word_counter,lybani,7,14,london
570,word_counter,beati,7,8,london
571,word_counter,traconitidis,7,3,zwickau
572,word_counter,domus,7,10,london
573,word_counter,sephet,7,5,zwickau
574,word_counter,galileam,7,3,zwickau
575,word_counter,transit,7,7,equal
576,word_counter,aquis,7,8,london
577,word_counter,sorte,7,7,equal
578,word_counter,campo,7,12,london
579,word_counter,essem,7,9,london
580,word_counter,festo,7,6,zwickau
581,word_counter,uie,7,4,zwickau
582,word_counter,habebat,7,6,zwickau
583,word_counter,nazareth,7,6,zwickau
584,word_counter,maior,7,8,london
585,word_counter,iohannem,7,10,london
586,word_counter,circuitum,7,8,london
587,word_counter,bis,7,8,london
588,word_counter,fontis,7,6,zwickau
589,word_counter,benyamin,7,2,zwickau
590,word_counter,istud,7,8,london
591,word_counter,facie,7,6,zwickau
592,word_counter,intra,7,9,london
593,word_counter,quibusdam,7,10,london
594,word_counter,rupes,7,9,london
595,word_counter,acheldemach,7,6,zwickau
596,word_counter,egiptus,7,6,zwickau
597,word_counter,ignis,7,8,london
598,word_counter,quomodo,6,7,london
599,word_counter,templo,6,7,london
600,word_counter,nobis,6,9,london
601,word_counter,maronite,6,2,zwickau
602,word_counter,syri,6,4,zwickau
603,word_counter,absque,6,8,london
604,word_counter,intus,6,10,london
605,word_counter,domum,6,8,london
606,word_counter,postquam,6,7,london
607,word_counter,nostri,6,7,london
608,word_counter,habentes,6,6,equal
609,word_counter,habere,6,8,london
610,word_counter,ipsius,6,6,equal
611,word_counter,syriam,6,5,zwickau
612,word_counter,possent,6,7,london
613,word_counter,fine,6,8,london
614,word_counter,samarie,6,5,zwickau
615,word_counter,israhel,6,0,zwickau
616,word_counter,oritur,6,5,zwickau
617,word_counter,gentes,6,5,zwickau
618,word_counter,multas,6,6,equal
619,word_counter,milicie,6,6,equal
620,word_counter,tripolis,6,2,zwickau
621,word_counter,sydon,6,4,zwickau
622,word_counter,tyrum,6,7,london
623,word_counter,damasci,6,4,zwickau
624,word_counter,eciam,6,11,london
625,word_counter,habetur,6,4,zwickau
626,word_counter,christianis,6,6,equal
627,word_counter,montanis,6,7,london
628,word_counter,magno,6,8,london
629,word_counter,primus,6,5,zwickau
630,word_counter,habitauerunt,6,5,zwickau
631,word_counter,magne,6,8,london
632,word_counter,quarte,6,4,zwickau
633,word_counter,regione,6,5,zwickau
634,word_counter,constituta,6,4,zwickau
635,word_counter,oliuetis,6,3,zwickau
636,word_counter,turribus,6,7,london
637,word_counter,fontibus,6,4,zwickau
638,word_counter,lapidibus,6,5,zwickau
639,word_counter,muros,6,6,equal
640,word_counter,planiciem,6,5,zwickau
641,word_counter,edificata,6,7,london
642,word_counter,diluuium,6,6,equal
643,word_counter,corde,6,7,london
644,word_counter,undique,6,3,zwickau
645,word_counter,fecerunt,6,5,zwickau
646,word_counter,quas,6,11,london
647,word_counter,totus,6,6,equal
648,word_counter,columpne,6,8,london
649,word_counter,mulier,6,6,equal
650,word_counter,altare,6,7,london
651,word_counter,domos,6,7,london
652,word_counter,unum,6,14,london
653,word_counter,tripolim,6,6,equal
654,word_counter,alie,6,8,london
655,word_counter,miliare,6,6,equal
656,word_counter,altus,6,9,london
657,word_counter,speluncam,6,4,zwickau
658,word_counter,phillippi,6,0,zwickau
659,word_counter,planicies,6,9,london
660,word_counter,camelis,6,6,equal
661,word_counter,insula,6,5,zwickau
662,word_counter,lapides,6,9,london
663,word_counter,terris,6,6,equal
664,word_counter,maron,6,5,zwickau
665,word_counter,iudith,6,4,zwickau
666,word_counter,manasse,6,8,london
667,word_counter,altior,6,7,london
668,word_counter,illum,6,11,london
669,word_counter,uxor,6,6,equal
670,word_counter,fuerat,6,10,london
671,word_counter,descensu,6,5,zwickau
672,word_counter,ascendit,6,8,london
673,word_counter,latus,6,4,zwickau
674,word_counter,nyli,6,0,zwickau
675,word_counter,sanctus,6,5,zwickau
676,word_counter,suos,6,7,london
677,word_counter,abrahe,6,2,zwickau
678,word_counter,meridiem,6,6,equal
679,word_counter,appellantur,6,6,equal
680,word_counter,numquam,6,6,equal
681,word_counter,campestria,6,4,zwickau
682,word_counter,aliam,6,4,zwickau
683,word_counter,edificia,6,5,zwickau
684,word_counter,crescit,6,5,zwickau
685,word_counter,longa,6,6,equal
686,word_counter,currit,6,5,zwickau
687,word_counter,utroque,6,3,zwickau
688,word_counter,illustris,6,4,zwickau
689,word_counter,200,6,4,zwickau
690,word_counter,multi,6,7,london
691,word_counter,magni,6,11,london
692,word_counter,iohannes,6,4,zwickau
693,word_counter,sepultus,6,11,london
694,word_counter,uirginem,6,7,london
695,word_counter,ortum,6,5,zwickau
696,word_counter,ueterem,6,3,zwickau
697,word_counter,60,6,6,equal
698,word_counter,uorago,6,8,london
699,word_counter,huic,6,11,london
700,word_counter,marmore,6,9,london
701,word_counter,ager,6,6,equal
702,word_counter,festum,6,6,equal
703,word_counter,oleum,6,6,equal
704,word_counter,christianorum,6,8,london
705,word_counter,officium,6,6,equal
706,word_counter,intrauit,5,5,equal
707,word_counter,lapidem,5,6,london
708,word_counter,crucem,5,5,equal
709,word_counter,monachi,5,5,equal
710,word_counter,corporis,5,4,zwickau
711,word_counter,dubio,5,5,equal
712,word_counter,sarracenos,5,7,london
713,word_counter,deus,5,7,london
714,word_counter,patris,5,4,zwickau
715,word_counter,suam,5,6,london
716,word_counter,celum,5,5,equal
717,word_counter,dicam,5,4,zwickau
718,word_counter,factum,5,10,london
719,word_counter,uolens,5,7,london
720,word_counter,patriarcha,5,5,equal
721,word_counter,mortui,5,5,equal
722,word_counter,christus,5,8,london
723,word_counter,dispositio,5,3,zwickau
724,word_counter,sepius,5,6,london
725,word_counter,uiderim,5,4,zwickau
726,word_counter,tamquam,5,4,zwickau
727,word_counter,sciendum,5,9,london
728,word_counter,sanctam,5,12,london
729,word_counter,caput,5,11,london
730,word_counter,nominibus,5,8,london
731,word_counter,nylum,5,1,zwickau
732,word_counter,fluuius,5,9,london
733,word_counter,media,5,6,london
734,word_counter,adiungitur,5,0,zwickau
735,word_counter,sedes,5,5,equal
736,word_counter,petrus,5,4,zwickau
737,word_counter,anteradum,5,7,london
738,word_counter,tyrus,5,4,zwickau
739,word_counter,nunquam,5,4,zwickau
740,word_counter,hominum,5,3,zwickau
741,word_counter,homines,5,4,zwickau
742,word_counter,dietam,5,5,equal
743,word_counter,eadem,5,7,london
744,word_counter,procedendo,5,8,london
745,word_counter,possederunt,5,3,zwickau
746,word_counter,plagam,5,4,zwickau
747,word_counter,includit,5,2,zwickau
748,word_counter,regionem,5,6,london
749,word_counter,arabie,5,7,london
750,word_counter,basan,5,3,zwickau
751,word_counter,deserti,5,4,zwickau
752,word_counter,terrarum,5,5,equal
753,word_counter,diuisione,5,7,london
754,word_counter,phenicea,5,0,zwickau
755,word_counter,longitudinem,5,8,london
756,word_counter,ficetis,5,2,zwickau
757,word_counter,campum,5,7,london
758,word_counter,hospitalis,5,8,london
759,word_counter,puteus,5,2,zwickau
760,word_counter,tyri,5,5,equal
761,word_counter,orti,5,5,equal
762,word_counter,meo,5,6,london
763,word_counter,iudicio,5,5,equal
764,word_counter,beatus,5,9,london
765,word_counter,maxime,5,9,london
766,word_counter,pulcram,5,2,zwickau
767,word_counter,retro,5,4,zwickau
768,word_counter,herodes,5,3,zwickau
769,word_counter,helyas,5,6,london
770,word_counter,mansit,5,7,london
771,word_counter,suscitauit,5,5,equal
772,word_counter,interdum,5,4,zwickau
