,feature_name,word,zwickau,london,version with higher score
51893,count_vectorizer_6_gram,itatis,55,80,london
51894,count_vectorizer_6_gram,_est_s,55,67,london
51895,count_vectorizer_6_gram,ontem_,55,63,london
51896,count_vectorizer_6_gram,idente,55,62,london
51897,count_vectorizer_6_gram,erusal,54,55,london
51898,count_vectorizer_6_gram,rusale,54,54,equal
51899,count_vectorizer_6_gram,inter_,54,57,london
51900,count_vectorizer_6_gram,est_in,54,60,london
51901,count_vectorizer_6_gram,_fere_,54,79,london
51902,count_vectorizer_6_gram,us_in_,54,73,london
51903,count_vectorizer_6_gram,a_ciui,54,47,zwickau
51904,count_vectorizer_6_gram,_trans,53,48,zwickau
51905,count_vectorizer_6_gram,tatem_,53,62,london
51906,count_vectorizer_6_gram,_appel,53,60,london
51907,count_vectorizer_6_gram,appell,53,60,london
51908,count_vectorizer_6_gram,ppella,53,59,london
51909,count_vectorizer_6_gram,t_est_,53,61,london
51910,count_vectorizer_6_gram,_mons_,53,76,london
51911,count_vectorizer_6_gram,ribus_,52,65,london
51912,count_vectorizer_6_gram,ibus_e,52,49,zwickau
51913,count_vectorizer_6_gram,_ista_,52,82,london
51914,count_vectorizer_6_gram,_aliqu,52,58,london
51915,count_vectorizer_6_gram,m_quod,52,51,zwickau
51916,count_vectorizer_6_gram,_que_e,51,55,london
51917,count_vectorizer_6_gram,nditur,51,55,london
51918,count_vectorizer_6_gram,_sepul,50,67,london
51919,count_vectorizer_6_gram,m_que_,50,59,london
51920,count_vectorizer_6_gram,_et_de,50,51,london
51921,count_vectorizer_6_gram,itatem,50,60,london
51922,count_vectorizer_6_gram,quibus,50,51,london
51923,count_vectorizer_6_gram,batur_,50,59,london
51924,count_vectorizer_6_gram,enditu,50,54,london
51925,count_vectorizer_6_gram,uilone,50,57,london
51926,count_vectorizer_6_gram,milite,50,52,london
51927,count_vectorizer_6_gram,udine_,50,51,london
51928,count_vectorizer_6_gram,raceni,49,42,zwickau
51929,count_vectorizer_6_gram,ibidem,49,55,london
51930,count_vectorizer_6_gram,bidem_,49,55,london
51931,count_vectorizer_6_gram,dentem,48,53,london
51932,count_vectorizer_6_gram,_in_mo,48,57,london
51933,count_vectorizer_6_gram,ta_est,48,48,equal
51934,count_vectorizer_6_gram,uibus_,48,47,zwickau
51935,count_vectorizer_6_gram,_uidi_,48,53,london
51936,count_vectorizer_6_gram,montem,48,51,london
51937,count_vectorizer_6_gram,a_orie,48,55,london
51938,count_vectorizer_6_gram,_egipt,47,44,zwickau
51939,count_vectorizer_6_gram,st_in_,47,43,zwickau
51940,count_vectorizer_6_gram,_quibu,47,47,equal
51941,count_vectorizer_6_gram,tur_et,47,59,london
51942,count_vectorizer_6_gram,tendit,47,46,zwickau
51943,count_vectorizer_6_gram,_ibide,47,54,london
51944,count_vectorizer_6_gram,_edifi,47,42,zwickau
51945,count_vectorizer_6_gram,edific,47,42,zwickau
51946,count_vectorizer_6_gram,erant_,46,43,zwickau
51947,count_vectorizer_6_gram,rum_et,46,52,london
51948,count_vectorizer_6_gram,_de_qu,46,54,london
51949,count_vectorizer_6_gram,ur_et_,46,54,london
51950,count_vectorizer_6_gram,imilit,46,45,zwickau
51951,count_vectorizer_6_gram,ra_ori,46,54,london
51952,count_vectorizer_6_gram,minus_,45,56,london
51953,count_vectorizer_6_gram,s_et_s,45,45,equal
51954,count_vectorizer_6_gram,it_in_,45,52,london
51955,count_vectorizer_6_gram,diceba,45,47,london
51956,count_vectorizer_6_gram,ur_in_,45,45,equal
51957,count_vectorizer_6_gram,locus_,45,61,london
51958,count_vectorizer_6_gram,et_est,45,54,london
51959,count_vectorizer_6_gram,nt_et_,45,45,equal
51960,count_vectorizer_6_gram,tra_or,45,53,london
51961,count_vectorizer_6_gram,am_in_,44,48,london
51962,count_vectorizer_6_gram,nt_in_,44,55,london
51963,count_vectorizer_6_gram,parte_,44,51,london
51964,count_vectorizer_6_gram,um_quo,44,43,zwickau
51965,count_vectorizer_6_gram,distat,44,34,zwickau
51966,count_vectorizer_6_gram,istat_,44,34,zwickau
51967,count_vectorizer_6_gram,tra_au,44,63,london
51968,count_vectorizer_6_gram,ra_aus,44,63,london
51969,count_vectorizer_6_gram,a_aust,44,64,london
51970,count_vectorizer_6_gram,t_aute,44,46,london
51971,count_vectorizer_6_gram,ristia,43,43,equal
51972,count_vectorizer_6_gram,istian,43,43,equal
51973,count_vectorizer_6_gram,n_mont,43,51,london
51974,count_vectorizer_6_gram,_diceb,43,47,london
51975,count_vectorizer_6_gram,ebatur,43,52,london
51976,count_vectorizer_6_gram,itur_i,43,51,london
51977,count_vectorizer_6_gram,_cuius,43,45,london
51978,count_vectorizer_6_gram,is_in_,43,52,london
51979,count_vectorizer_6_gram,_locus,43,60,london
51980,count_vectorizer_6_gram,_et_es,43,54,london
51981,count_vectorizer_6_gram,_que_d,43,46,london
51982,count_vectorizer_6_gram,_milia,43,34,zwickau
51983,count_vectorizer_6_gram,alilee,42,40,zwickau
51984,count_vectorizer_6_gram,_esse_,42,40,zwickau
51985,count_vectorizer_6_gram,cuius_,42,44,london
51986,count_vectorizer_6_gram,gitur_,42,51,london
51987,count_vectorizer_6_gram,e_per_,42,44,london
51988,count_vectorizer_6_gram,_deser,42,45,london
51989,count_vectorizer_6_gram,desert,42,44,london
51990,count_vectorizer_6_gram,cis_co,42,46,london
51991,count_vectorizer_6_gram,tum_es,42,56,london
51992,count_vectorizer_6_gram,clesia,42,61,london
51993,count_vectorizer_6_gram,in_quo,42,57,london
51994,count_vectorizer_6_gram,in_mon,41,48,london
51995,count_vectorizer_6_gram,domini,41,39,zwickau
51996,count_vectorizer_6_gram,ilonem,41,42,london
51997,count_vectorizer_6_gram,leucam,41,32,zwickau
51998,count_vectorizer_6_gram,unt_et,41,37,zwickau
51999,count_vectorizer_6_gram,3_leuc,41,22,zwickau
52000,count_vectorizer_6_gram,_est_u,41,47,london
52001,count_vectorizer_6_gram,ucis_c,41,45,london
52002,count_vectorizer_6_gram,s_qui_,40,54,london
52003,count_vectorizer_6_gram,_intra,40,40,equal
52004,count_vectorizer_6_gram,_in_te,40,36,zwickau
52005,count_vectorizer_6_gram,_in_lo,40,54,london
52006,count_vectorizer_6_gram,secund,40,48,london
52007,count_vectorizer_6_gram,licet_,40,50,london
52008,count_vectorizer_6_gram,e_que_,40,43,london
52009,count_vectorizer_6_gram,bus_et,40,30,zwickau
52010,count_vectorizer_6_gram,ordane,40,47,london
52011,count_vectorizer_6_gram,norum_,40,40,equal
52012,count_vectorizer_6_gram,m_usqu,40,40,equal
52013,count_vectorizer_6_gram,_3_leu,40,21,zwickau
52014,count_vectorizer_6_gram,titudi,40,43,london
52015,count_vectorizer_6_gram,uallis,40,33,zwickau
52016,count_vectorizer_6_gram,allis_,40,33,zwickau
52017,count_vectorizer_6_gram,_terre,39,40,london
52018,count_vectorizer_6_gram,terram,39,43,london
52019,count_vectorizer_6_gram,sepulc,39,46,london
52020,count_vectorizer_6_gram,_lapid,39,53,london
52021,count_vectorizer_6_gram,_templ,39,45,london
52022,count_vectorizer_6_gram,_in_la,39,37,zwickau
52023,count_vectorizer_6_gram,lilee_,39,37,zwickau
52024,count_vectorizer_6_gram,m_qui_,39,40,london
52025,count_vectorizer_6_gram,in_qua,39,42,london
52026,count_vectorizer_6_gram,icebat,39,42,london
52027,count_vectorizer_6_gram,s_et_p,39,40,london
52028,count_vectorizer_6_gram,eucam_,39,31,zwickau
52029,count_vectorizer_6_gram,dicunt,39,43,london
52030,count_vectorizer_6_gram,n_quo_,39,53,london
52031,count_vectorizer_6_gram,porta_,39,35,zwickau
52032,count_vectorizer_6_gram,erram_,38,43,london
52033,count_vectorizer_6_gram,_adhuc,38,48,london
52034,count_vectorizer_6_gram,adhuc_,38,48,london
52035,count_vectorizer_6_gram,_secun,38,42,london
52036,count_vectorizer_6_gram,_tribu,38,56,london
52037,count_vectorizer_6_gram,cebatu,38,43,london
52038,count_vectorizer_6_gram,ia_et_,38,45,london
52039,count_vectorizer_6_gram,_dicta,38,33,zwickau
52040,count_vectorizer_6_gram,dicta_,38,31,zwickau
52041,count_vectorizer_6_gram,_dicun,38,42,london
52042,count_vectorizer_6_gram,omnes_,38,41,london
52043,count_vectorizer_6_gram,dominu,38,40,london
52044,count_vectorizer_6_gram,m_ubi_,38,45,london
52045,count_vectorizer_6_gram,epulcr,37,3,zwickau
52046,count_vectorizer_6_gram,_et_su,37,37,equal
52047,count_vectorizer_6_gram,ionis_,37,52,london
52048,count_vectorizer_6_gram,que_in,37,36,zwickau
52049,count_vectorizer_6_gram,i_sunt,37,47,london
