original_word,variants,variants_count
regine,"[('regina', 1), ('regie', 1), ('regione', 1)]",3
aqua,"[('aquas', 1), ('qua', 1), ('aquam', 1), ('aque', 1)]",4
pisis,"[('uisis', 1)]",1
carmelo,"[('carmeli', 1)]",1
iacobus,"[('lacobus', 1)]",1
iminet,"[('eminet', 1)]",1
uersa,"[('uera', 1), ('tersa', 1), ('uerba', 1)]",3
quadam,"[('quamdam', 1), ('uadam', 1), ('quedam', 1), ('quasdam', 1), ('quodam', 1), ('quidam', 1), ('quandam', 1)]",7
possint,"[('possit', 1), ('possent', 1), ('possunt', 1)]",3
sanctus,"[('sactus', 1), ('sanctum', 1), ('sanctis', 1)]",3
damascus,"[('damascum', 1)]",1
habitat,"[('habitant', 1)]",1
arbor,"[('arbore', 1)]",1
passione,"[('passionem', 1)]",1
laoditiam,"[('laoditia', 1)]",1
inpleta,"[('impleta', 1)]",1
uisis,"[('pisis', 1), ('uilis', 1), ('uiris', 1)]",3
coli,"[('cole', 1), ('colis', 1), ('soli', 1), ('celi', 1), ('cori', 1)]",5
sumi,"[('sui', 1), ('sum', 1)]",2
quamdam,"[('quadam', 1), ('quemdam', 1), ('quasdam', 1), ('quandam', 1)]",4
aliquando,"[('aliquanto', 1)]",1
riuus,"[('riuos', 1), ('riuis', 1), ('riuum', 1)]",3
suficere,"[('suficeret', 1)]",1
siluestres,"[('siluestris', 1)]",1
dependenti,"[('dependente', 1)]",1
sindone,"[('sidone', 1)]",1
occidentali,"[('occidentalis', 1), ('occidentale', 1)]",2
katolicos,"[('katolico', 1), ('catolicos', 1)]",2
habes,"[('habens', 1), ('habet', 1)]",2
fratrum,"[('fratrem', 1), ('aratrum', 1)]",2
pendent,"[('pendens', 1), ('pendet', 1)]",2
loucam,"[('lucam', 1), ('leucam', 1)]",2
posse,"[('possem', 1), ('posset', 1)]",2
artem,"[('partem', 1), ('autem', 1)]",2
bone,"[('bona', 1), ('bene', 1), ('boni', 1), ('boue', 1)]",4
stantem,"[('stantes', 1), ('stante', 1)]",2
dieta,"[('dietas', 1), ('diete', 1), ('dicta', 1), ('dietam', 1)]",4
nauigarem,"[('nauigare', 1)]",1
filia,"[('milia', 1), ('filie', 1), ('filio', 1), ('folia', 1), ('filii', 1), ('filiam', 1)]",6
inferior,"[('inferiore', 1), ('interior', 1), ('inferiori', 1)]",3
gulfum,"[('gulfus', 1)]",1
alius,"[('aliis', 1), ('alium', 1), ('alias', 1), ('elius', 1), ('alcius', 1), ('aliud', 1), ('alios', 1), ('altus', 1), ('ilius', 1)]",9
fleuit,"[('fluit', 1)]",1
sidon,"[('sion', 1), ('sidone', 1)]",2
fiale,"[('fiala', 1)]",1
tuli,"[('nuli', 1)]",1
appelatus,"[('appelatur', 1)]",1
aream,"[('arcam', 1), ('aram', 1), ('area', 1)]",3
edom,"[('edam', 1)]",1
dicam,"[('dictam', 1)]",1
serra,"[('terra', 1)]",1
minora,"[('minore', 1), ('minori', 1), ('minor', 1)]",3
bonum,"[('bonam', 1), ('bonus', 1)]",2
ueteris,"[('ueneris', 1), ('ueteres', 1), ('ceteris', 1), ('ueteri', 1)]",4
tanto,"[('tanta', 1), ('tante', 1), ('tanti', 1)]",3
amateum,"[('amaceum', 1), ('mateum', 1), ('arateum', 1)]",3
eneam,"[('enea', 1), ('eneum', 1)]",2
fiala,"[('piala', 1), ('fiale', 1), ('fialam', 1)]",3
fixi,"[('dixi', 1), ('fixa', 1)]",2
prerupte,"[('prerupti', 1), ('prerupta', 1)]",2
mulierum,"[('mulierem', 1)]",1
dormiui,"[('dormiuit', 1)]",1
egiptii,"[('egipti', 1)]",1
amenus,"[('amenis', 1), ('amenum', 1), ('amenos', 1)]",3
sola,"[('sol', 1), ('soli', 1), ('solam', 1)]",3
plagam,"[('planam', 1)]",1
faciebant,"[('faciebat', 1)]",1
turci,"[('turri', 1), ('turcis', 1)]",2
duobus,"[('duabus', 1)]",1
scaleam,"[('scalam', 1)]",1
cedes,"[('cenes', 1), ('pedes', 1), ('celes', 1), ('cades', 1), ('sedes', 1), ('cede', 1)]",6
arborum,"[('armorum', 1), ('arborem', 1)]",2
modicum,"[('modicam', 1), ('modicus', 1)]",2
fluuios,"[('fluuius', 1), ('fluuio', 1)]",2
regia,"[('regio', 1), ('regiam', 1), ('regi', 1), ('regina', 1), ('regna', 1), ('regis', 1), ('regie', 1)]",7
uersus,"[('uerus', 1), ('uersis', 1)]",2
maranite,"[('maronite', 1)]",1
amenis,"[('amenus', 1), ('amenos', 1)]",2
patrem,"[('patre', 1), ('patrum', 1), ('matrem', 1), ('patres', 1)]",4
staturam,"[('statura', 1)]",1
uetus,"[('uerus', 1)]",1
salis,"[('satis', 1), ('solis', 1), ('salim', 1), ('ualis', 1), ('palis', 1), ('talis', 1), ('malis', 1), ('saulis', 1)]",8
nouo,"[('ouo', 1), ('noua', 1), ('noui', 1), ('nobo', 1), ('noue', 1)]",5
campis,"[('campus', 1), ('campi', 1), ('campos', 1)]",3
giblin,"[('gublin', 1)]",1
caput,"[('aput', 1)]",1
natione,"[('nationes', 1)]",1
quare,"[('quarte', 1)]",1
colorum,"[('colorem', 1)]",1
reciperent,"[('reciperet', 1)]",1
firmum,"[('firmam', 1)]",1
australis,"[('australi', 1)]",1
longum,"[('longus', 1)]",1
habitans,"[('habitant', 1)]",1
exempla,"[('exempli', 1)]",1
facili,"[('facile', 1)]",1
possit,"[('possint', 1), ('posuit', 1), ('posset', 1), ('possim', 1)]",4
iludi,"[('ilud', 1)]",1
manbra,"[('manbre', 1)]",1
celebraui,"[('celebrauit', 1)]",1
euersionis,"[('euersioni', 1)]",1
iminebant,"[('iminebat', 1)]",1
palestina,"[('palestinam', 1), ('palestine', 1)]",2
timet,"[('timent', 1)]",1
katolico,"[('katolicos', 1)]",1
edificate,"[('edificare', 1), ('edificato', 1), ('edificata', 1)]",3
petra,"[('petram', 1), ('petri', 1), ('petre', 1)]",3
uehementia,"[('uehementi', 1)]",1
manibus,"[('canibus', 1), ('panibus', 1)]",2
