original_word,variants,variants_count
iluc,"[('ilud', 1), ('ilum', 1)]",2
celeum,"[('celum', 1)]",1
eius,"[('eis', 1)]",1
genesis,"[('generis', 1)]",1
uoraginem,"[('uoragine', 1)]",1
lata,"[('nata', 1)]",1
procedendo,"[('procededo', 1)]",1
uadens,"[('uidens', 1)]",1
capele,"[('capela', 1)]",1
muniri,"[('muniti', 1)]",1
tantum,"[('tantam', 1)]",1
capitis,"[('capiti', 1)]",1
templi,"[('templo', 1)]",1
umquam,"[('numquam', 1)]",1
ista,"[('isti', 1), ('istam', 1), ('iste', 1), ('ita', 1), ('isto', 1)]",5
tectum,"[('lectum', 1)]",1
tabulam,"[('tabulas', 1), ('tabula', 1)]",2
parietes,"[('pariete', 1)]",1
caiatiarim,"[('cariatiarim', 1)]",1
uere,"[('fere', 1), ('uera', 1), ('ere', 1), ('uero', 1)]",4
filii,"[('filiis', 1), ('filio', 1)]",2
sagwinem,"[('sagwineum', 1), ('sagwine', 1), ('sangwinem', 1)]",3
muris,"[('murus', 1), ('maris', 1), ('muri', 1), ('muriis', 1), ('muros', 1)]",5
milia,"[('milie', 1)]",1
deus,"[('deut', 1), ('deum', 1)]",2
superficie,"[('superficies', 1)]",1
defixit,"[('deficit', 1)]",1
uineis,"[('uinetis', 1)]",1
sufitiant,"[('sufitiat', 1)]",1
iacos,"[('iacob', 1), ('iacot', 1)]",2
passus,"[('passum', 1)]",1
castra,"[('castro', 1)]",1
orbem,"[('orbe', 1)]",1
lapidum,"[('lapidem', 1)]",1
quarte,"[('quarta', 1)]",1
sepor,"[('segor', 1)]",1
potui,"[('posui', 1)]",1
duci,"[('dici', 1), ('ducit', 1)]",2
cristianis,"[('cristiani', 1), ('cristianus', 1)]",2
sedes,"[('cedes', 1), ('pedes', 1)]",2
baptista,"[('baptiste', 1)]",1
arto,"[('alto', 1)]",1
ubbi,"[('ubi', 1)]",1
distent,"[('distant', 1)]",1
portam,"[('porta', 1)]",1
quin,"[('qui', 1), ('quid', 1), ('quis', 1), ('quia', 1)]",4
poterant,"[('poterat', 1)]",1
nemine,"[('nemini', 1), ('nomine', 1)]",2
iesrahel,"[('israhel', 1)]",1
hominibus,"[('nominibus', 1)]",1
uinetus,"[('uinetis', 1)]",1
pede,"[('pedem', 1), ('cede', 1), ('pedes', 1)]",3
samaria,"[('samariam', 1), ('samarie', 1)]",2
nauim,"[('nauis', 1), ('naim', 1)]",2
meum,"[('deum', 1), ('eum', 1), ('meam', 1), ('mecum', 1)]",4
solent,"[('solet', 1)]",1
diem,"[('dies', 1), ('diei', 1), ('die', 1)]",3
lineam,"[('lineas', 1), ('linea', 1)]",2
habens,"[('habent', 1)]",1
descendentis,"[('descendentes', 1)]",1
arcis,"[('arcus', 1)]",1
mansi,"[('mansio', 1)]",1
nobilissima,"[('nobilissime', 1), ('nobilissimo', 1)]",2
fabe,"[('faba', 1)]",1
comuniter,"[('comunitur', 1)]",1
quadrata,"[('quadrati', 1)]",1
herodes,"[('herode', 1)]",1
templo,"[('templi', 1)]",1
ciuitatis,"[('ciuitates', 1)]",1
betlehem,"[('betleem', 1), ('betlesem', 1)]",2
regum,"[('regnum', 1), ('regem', 1), ('regium', 1), ('rerum', 1)]",4
caldea,"[('caldeam', 1)]",1
cristiani,"[('cristianis', 1)]",1
nemini,"[('nemine', 1), ('semini', 1)]",2
diuisione,"[('diuisone', 1)]",1
pueri,"[('puer', 1)]",1
lectum,"[('tectum', 1)]",1
sepultra,"[('sepultura', 1)]",1
diuisi,"[('diuisa', 1)]",1
emon,"[('amon', 1), ('mon', 1)]",2
incidit,"[('incipit', 1)]",1
extendat,"[('extendit', 1)]",1
caipam,"[('caipas', 1)]",1
fluit,"[('fuit', 1), ('efluit', 1)]",2
rabot,"[('nabot', 1), ('ramot', 1)]",2
diei,"[('dici', 1), ('dixi', 1), ('dies', 1), ('diem', 1), ('dei', 1), ('die', 1), ('dii', 1)]",7
australe,"[('australi', 1), ('australem', 1), ('australes', 1)]",3
tenerot,"[('cenerot', 1)]",1
latitant,"[('latitat', 1)]",1
dicetur,"[('dicitur', 1), ('dicatur', 1), ('dicebtur', 1)]",3
filium,"[('filius', 1), ('filiam', 1)]",2
sepe,"[('sepet', 1)]",1
oculis,"[('oculos', 1)]",1
pelegrini,"[('peregrini', 1)]",1
amon,"[('emon', 1), ('mon', 1), ('amos', 1)]",3
tamen,"[('tamem', 1)]",1
aque,"[('que', 1), ('aqua', 1)]",2
niues,"[('ciues', 1)]",1
milie,"[('milia', 1)]",1
flos,"[('ilos', 1)]",1
desertus,"[('desertum', 1)]",1
tres,"[('res', 1)]",1
porte,"[('porta', 1), ('parte', 1), ('forte', 1)]",3
autem,"[('aute', 1)]",1
uale,"[('ualde', 1), ('uile', 1), ('ualem', 1), ('ualet', 1)]",4
cubitis,"[('cubitos', 1)]",1
ipse,"[('ipsi', 1), ('ipsa', 1), ('ipso', 1)]",3
uenti,"[('uentis', 1)]",1
piscinan,"[('piscinas', 1), ('piscinam', 1), ('piscina', 1)]",3
oliueta,"[('oliueti', 1)]",1
lacus,"[('locus', 1), ('acus', 1), ('latus', 1), ('lacis', 1)]",4
mortuus,"[('mortuum', 1)]",1
dixit,"[('dicit', 1), ('dixi', 1), ('duxit', 1)]",3
decinando,"[('declinando', 1)]",1
tetrarca,"[('tetraca', 1), ('detrarca', 1)]",2
biblium,"[('bibliam', 1)]",1
egiptus,"[('egiptum', 1)]",1
totum,"[('totus', 1), ('totam', 1)]",2
descendat,"[('descendant', 1), ('descendit', 1)]",2
igitur,"[('agitur', 1)]",1
maris,"[('muris', 1), ('magis', 1), ('marie', 1), ('maria', 1), ('mari', 1)]",5
aliarum,"[('aliorum', 1)]",1
mensa,"[('menia', 1), ('mense', 1)]",2
ierusales,"[('ierusalem', 1)]",1
soelet,"[('solet', 1)]",1
impressiones,"[('impressionem', 1)]",1
rapne,"[('tapne', 1)]",1
adam,"[('aram', 1), ('axam', 1)]",2
ecclesie,"[('ecclesia', 1)]",1
ruina,"[('ruine', 1), ('ruinas', 1)]",2
partim,"[('parti', 1), ('partem', 1)]",2
nostis,"[('nostris', 1)]",1
utraque,"[('utroque', 1)]",1
disposita,"[('dispositi', 1)]",1
latus,"[('litus', 1), ('lacus', 1), ('natus', 1)]",3
memoria,"[('memoriam', 1), ('memorie', 1)]",2
gradu,"[('gradus', 1)]",1
fuisset,"[('fuisse', 1), ('fuissent', 1)]",2
possum,"[('passum', 1), ('possem', 1)]",2
omni,"[('omnia', 1), ('omne', 1), ('omnis', 1)]",3
beritum,"[('beritus', 1)]",1
altera,"[('alter', 1)]",1
propeta,"[('propetam', 1), ('propete', 1), ('propetas', 1)]",3
habeant,"[('habent', 1)]",1
magis,"[('maris', 1), ('mages', 1)]",2
facit,"[('fecit', 1)]",1
aquilonaris,"[('aquilonari', 1)]",1
plene,"[('plena', 1), ('plane', 1)]",2
solis,"[('salis', 1), ('colis', 1)]",2
loca,"[('loco', 1)]",1
item,"[('idem', 1)]",1
golgata,"[('galgata', 1)]",1
quarta,"[('quarte', 1), ('quartam', 1)]",2
cetera,"[('ceteras', 1)]",1
aquilonem,"[('aquilone', 1), ('aqilonem', 1)]",2
oculos,"[('oculis', 1)]",1
turbia,"[('turba', 1)]",1
fuderint,"[('fuerint', 1)]",1
fuisse,"[('fuisset', 1)]",1
alta,"[('alia', 1), ('alto', 1)]",2
consitus,"[('conditus', 1)]",1
quemdam,"[('quedam', 1)]",1
bestiis,"[('bestias', 1)]",1
dispositi,"[('disposita', 1)]",1
mosra,"[('bosra', 1)]",1
nomine,"[('domine', 1), ('nemine', 1)]",2
istud,"[('isud', 1), ('istum', 1)]",2
diuo,"[('duo', 1)]",1
rodum,"[('modum', 1)]",1
hominum,"[('dominum', 1)]",1
dicunt,"[('ducunt', 1)]",1
fonte,"[('monte', 1), ('forte', 1), ('fontes', 1), ('fontem', 1)]",4
faba,"[('fabe', 1)]",1
