,feature_name,p_#,cross/inner,mean,std,min,25%,50%,75%,max,# of 0 similarities,p_length,most_similar_p_#,most_similar_score,most_similar_p_length,most_similar_dropped,most_similar_dropped_p_#,most_similar_dropperd_score,most_similar_dropped_p_length,version,inner_mean_is_low,cross_inner_mean_diff
1421,count_vectorizer_5_gram,149,inner,0.07669719236230427,0.04078303889643069,0.0,0.04787201525394861,0.0704551624864307,0.09694734785128721,0.26335207105800656,1,370,314,0.26335207105800656,1325,,,,,london,False,-0.0030121145296464202
2725,5_gram,149,cross,0.03835001779148326,0.02596569715959823,0.0,0.02194482801833271,0.030804314352137128,0.047343009215483574,0.17603721384885618,1,359,153,0.17603721384885618,542,True,144.0,0.6229277306599088,319.0,zwickau,,
3047,count_vectorizer_5_gram,149,cross,0.08998435313271537,0.04297945709752892,0.0,0.06066789509865314,0.0836804090850436,0.11279636708061717,0.30598292895525014,1,359,153,0.30598292895525014,542,True,144.0,0.7038958606210896,319.0,zwickau,,
3048,count_vectorizer_5_gram,150,cross,0.07491560820584757,0.04083726905582316,0.0,0.046353274852203113,0.07147672340978903,0.09798596127334626,0.41105808011022393,3,476,145,0.41105808011022393,613,False,,,,zwickau,,
1438,count_vectorizer_5_gram,150,inner,0.0697847550947681,0.0365715308236477,0.0,0.04344050292855724,0.06640420276872074,0.0923350552716163,0.2127570396953156,4,476,18,0.2127570396953156,573,,,,,zwickau,True,0.00513085311107947
1116,5_gram,150,inner,0.03360895471996333,0.021323852112537373,0.0,0.018496724466718434,0.0299638123601619,0.04520737566979518,0.16722269147815236,4,476,18,0.16722269147815236,573,,,,,zwickau,True,0.0020943795266360962
1104,5_gram,150,inner,0.030393144910845257,0.019385120276038278,0.0,0.015801438706784063,0.026100031500654822,0.041023337328784486,0.1114771993860229,3,218,49,0.1114771993860229,354,,,,,london,False,-0.0004066256225914999
2694,5_gram,150,cross,0.029986519288253757,0.020042446406329656,0.0,0.015505220749409618,0.02640761576869103,0.040232226863714075,0.13604735472295765,2,218,205,0.13604735472295765,178,True,154.0,0.7524707825231871,170.0,london,,
1422,count_vectorizer_5_gram,150,inner,0.08252600243759321,0.04359938966522976,0.0,0.04941791730609754,0.07870365568860307,0.11155577199538678,0.22594960054575883,3,218,227,0.22594960054575883,295,,,,,london,False,-0.005057385631393893
3012,count_vectorizer_5_gram,150,cross,0.07746861680619932,0.04040194483692261,0.0,0.04715407633605504,0.07397574063853138,0.10414798936604087,0.2029395950463502,2,218,91,0.2029395950463502,52,True,154.0,0.7899201043086321,170.0,london,,
