,feature_name,p_#,cross/inner,mean,std,min,25%,50%,75%,max,# of 0 similarities,p_length,most_similar_p_#,most_similar_score,most_similar_p_length,most_similar_dropped,version
46,5_gram,46,inner,0.048601977608523673,0.023646800046711405,0.002858355823244426,0.03122482767916603,0.0450844214154319,0.06280836717033615,0.18670062772146218,0,959,10,0.18670062772146218,632,,zwickau
368,5_gram,46,cross,0.05149370454792452,0.03305918284021143,0.007298957583668485,0.03406796355755931,0.04863150836998764,0.06275510942400792,0.501220144682536,0,959,46,0.501220144682536,839,False,zwickau
47,5_gram,47,inner,0.024377893030509912,0.01812177992203443,0.0,0.011232314290435034,0.02041447460620297,0.031731914455652876,0.147072903300757,3,275,43,0.147072903300757,667,,zwickau
369,5_gram,47,cross,0.02650849452303951,0.01946192601319798,0.0,0.01326952477304563,0.022625872935315972,0.035109533526721165,0.1638438044501434,3,275,45,0.1638438044501434,515,False,zwickau
370,5_gram,48,cross,0.017984300928892645,0.024993354269186963,0.0,0.00798623833841268,0.012814916979374057,0.020783368348323582,0.26783467800706684,11,128,40,0.26783467800706684,450,False,zwickau
48,5_gram,48,inner,0.018232059408891825,0.027080419684217497,0.0,0.008033539013481115,0.013019186389867068,0.020887877014764505,0.26993343361004557,13,128,40,0.26993343361004557,438,,zwickau
49,5_gram,49,inner,0.02924532079813745,0.020342735189883925,0.0,0.015087104996798781,0.02482101019873264,0.03826829858501855,0.14399847079880887,3,193,321,0.14399847079880887,53,,zwickau
371,5_gram,49,cross,0.029246609886819853,0.017667586460647356,0.0,0.016657582028040154,0.026429396839783573,0.03765446439918757,0.10148511599825112,2,193,161,0.10148511599825112,559,False,zwickau
372,5_gram,50,cross,0.027350270372843186,0.03261363950863584,0.0,0.01349062752030477,0.02225496773137836,0.03542640684478536,0.5077702145963647,4,183,47,0.5077702145963647,255,False,zwickau
50,5_gram,50,inner,0.027287719922406823,0.022918478923100245,0.0,0.012274046668113367,0.02244571215947694,0.033681196290376324,0.21373305634030768,1,183,60,0.21373305634030768,253,,zwickau
373,5_gram,51,cross,0.026838038750047206,0.018515095488216313,0.0,0.013801228194587834,0.023215086671355977,0.03658247162248247,0.11323726451798849,4,173,36,0.11323726451798849,355,True,zwickau
51,5_gram,51,inner,0.026546766817094242,0.019040843082068725,0.0,0.013647110769549792,0.02178836264594106,0.03579768367486338,0.10703559641283172,4,173,94,0.10703559641283172,431,,zwickau
52,5_gram,52,inner,0.04054410851648944,0.019476802600711367,0.0039123132254620715,0.025752161027506715,0.03898302700980775,0.051099639708387545,0.1129144009608863,0,654,55,0.1129144009608863,584,,zwickau
374,5_gram,52,cross,0.04394275441897159,0.03129518536585769,0.0,0.029369816674536347,0.03934165964019552,0.05310402951239224,0.48165097124602124,1,654,49,0.48165097124602124,354,False,zwickau
375,5_gram,53,cross,0.039292619754764634,0.030681861446020534,0.0015849636563504623,0.02559618442237771,0.03503815077834915,0.04636924547480641,0.46697169819458356,0,658,50,0.46697169819458356,955,False,zwickau
53,5_gram,53,inner,0.03786449975217728,0.021986447301327566,0.0017118565540486378,0.02405424040156535,0.033562678393250486,0.048450415270292875,0.16375294581103383,0,658,54,0.16375294581103383,1352,,zwickau
376,5_gram,54,cross,0.05462215344719566,0.02696878210429079,0.001737780239960902,0.03563481183137657,0.04943481148139104,0.06821591147607227,0.15115773431367796,0,1352,71,0.15115773431367796,1230,True,zwickau
54,5_gram,54,inner,0.05217846076487974,0.028234647879293247,0.0,0.03326703476564859,0.04666337562941096,0.06583940050770255,0.16375294581103383,1,1352,53,0.16375294581103383,658,,zwickau
377,5_gram,55,cross,0.037467426993784136,0.01908274039949926,0.0,0.02365268333981192,0.03548468235696252,0.04647823961473391,0.13877960089613073,1,584,68,0.13877960089613073,343,True,zwickau
55,5_gram,55,inner,0.035770404692564914,0.019486342721346014,0.0,0.022605449785874324,0.033929539768989964,0.04527494402181205,0.16284190108611055,1,584,69,0.16284190108611055,289,,zwickau
56,5_gram,56,inner,0.03903839635340587,0.0331708087582974,0.0,0.01906368802415806,0.03345031510433191,0.048238029923148136,0.3296487676673047,4,283,70,0.3296487676673047,915,,zwickau
378,5_gram,56,cross,0.04393351832330194,0.042055753860206754,0.0,0.02238416318496672,0.03530076195984243,0.05375552760165587,0.5611483768906589,2,283,53,0.5611483768906589,529,False,zwickau
57,5_gram,57,inner,0.010712285336654257,0.02029697632162802,0.0,0.0,0.004905140558076704,0.013002507978019393,0.17846087910444974,143,30,71,0.17846087910444974,226,,zwickau
379,5_gram,57,cross,0.011500449631718725,0.02401894979155785,0.0,0.0,0.004915812025889515,0.013298386406684858,0.22349524911278879,137,30,72,0.22349524911278879,408,False,zwickau
58,5_gram,58,inner,0.03933155965147889,0.022898172223749024,0.004092441357355673,0.023026222826650896,0.03584529696046505,0.05002314676864601,0.1506653805428635,0,687,60,0.1506653805428635,253,,zwickau
380,5_gram,58,cross,0.04268985474283622,0.03589151840286113,0.0,0.02515348776908092,0.037397704212415575,0.05222849869270537,0.5446075701041057,1,687,54,0.5446075701041057,499,False,zwickau
59,5_gram,59,inner,0.053046981396287565,0.027365615419688835,0.0,0.03323204022623413,0.05157954847126866,0.06572058671947206,0.201448374075093,2,1372,31,0.201448374075093,500,,zwickau
381,5_gram,59,cross,0.055297456454791234,0.02469230013321362,0.0,0.039346783979645486,0.05168625051327077,0.06782934607098251,0.1583263528246617,1,1372,32,0.1583263528246617,485,True,zwickau
382,5_gram,60,cross,0.030705657638868778,0.027047067506504815,0.0008999668204737494,0.015908299202994962,0.024669898297951288,0.03888728519793065,0.33593613504107817,0,253,56,0.33593613504107817,365,False,zwickau
60,5_gram,60,inner,0.030661121755828507,0.02337310203143255,0.00035169651315476036,0.016475192906614155,0.026848313873509277,0.040023201939744506,0.21373305634030768,0,253,50,0.21373305634030768,183,,zwickau
61,5_gram,61,inner,0.012723637939333668,0.012423454454614733,0.0,0.005083903018488494,0.009471360032798259,0.015734688874114326,0.09005467501423228,14,163,221,0.09005467501423228,267,,zwickau
383,5_gram,61,cross,0.01414390934575774,0.027659131181535557,0.0,0.005258316938192077,0.010049837474204442,0.015875901085346165,0.4553807494776466,12,163,57,0.4553807494776466,258,False,zwickau
384,5_gram,62,cross,0.022179471174088052,0.028741197130613072,0.0,0.010831410440338602,0.01794776911165375,0.026889671303875932,0.46199882972892803,4,108,58,0.46199882972892803,152,False,zwickau
62,5_gram,62,inner,0.01989174931158125,0.014310925128442353,0.0,0.009828749758059821,0.01680941205233648,0.02687563455043601,0.08981320115004673,3,108,35,0.08981320115004673,371,,zwickau
385,5_gram,63,cross,0.048934542426823095,0.02117284795634926,0.0045635754004050315,0.03407367287759982,0.045761315541255045,0.06092608757870661,0.13931623942156254,0,695,73,0.13931623942156254,594,True,zwickau
63,5_gram,63,inner,0.04569694657600555,0.022410792345963857,0.0,0.030584415230546395,0.043223453290669414,0.057744388512227574,0.15756936374428993,1,695,73,0.15756936374428993,618,,zwickau
64,5_gram,64,inner,0.04463006376268677,0.021664447618383275,0.0030575488488600003,0.029822975423757933,0.04247008429776421,0.056576324884702565,0.14392376186039435,0,868,27,0.14392376186039435,950,,zwickau
386,5_gram,64,cross,0.04948636241538225,0.03834405532053946,0.0,0.03202361775573967,0.04443844967592462,0.05925728739468986,0.5326092264752618,1,868,60,0.5326092264752618,692,False,zwickau
387,5_gram,65,cross,0.026974988629148856,0.03483898053241118,0.0,0.010019242410083971,0.0191444857218402,0.033901583373228045,0.5036609145002442,9,189,61,0.5036609145002442,223,False,zwickau
65,5_gram,65,inner,0.024598125128684024,0.02478873836204648,0.0,0.008182881622898541,0.017379912110635085,0.03235989432855555,0.1791243298491349,18,189,70,0.1791243298491349,915,,zwickau
66,5_gram,66,inner,0.029159107865848723,0.025382288684203974,0.0,0.014965409697425693,0.024305739703260373,0.03634128303859077,0.27543020550357794,2,387,78,0.27543020550357794,638,,zwickau
388,5_gram,66,cross,0.03276440112281765,0.03607818098254587,0.0,0.016529408624895076,0.026392964932245834,0.03923543629085846,0.5276719458833337,2,387,63,0.5276719458833337,308,False,zwickau
389,5_gram,67,cross,0.021190622869758407,0.033267753130330674,0.0,0.009294304199177511,0.014851833676724203,0.026550791072985667,0.5457098522427557,3,181,64,0.5457098522427557,380,False,zwickau
67,5_gram,67,inner,0.018176293695254454,0.017333899264658975,0.0,0.007787151279578781,0.01333880527564361,0.023991789735316498,0.1868453823351069,4,181,77,0.1868453823351069,941,,zwickau
68,5_gram,68,inner,0.026719719370717588,0.021175157120896935,0.0,0.013822086035261395,0.023389038976312046,0.03548292762088302,0.20113483643574304,4,146,66,0.20113483643574304,387,,zwickau
390,5_gram,68,cross,0.029541404987503878,0.03140843534383366,0.0,0.015218230930986024,0.023892608800521714,0.037618974930342476,0.4784816963773827,3,146,65,0.4784816963773827,381,False,zwickau
69,5_gram,69,inner,0.03744899157516464,0.023755920298095853,0.0,0.021096521838680937,0.032170926435085054,0.048302251330134785,0.16284190108611055,3,289,55,0.16284190108611055,584,,zwickau
391,5_gram,69,cross,0.03836292622076306,0.02351894177768118,0.0,0.022658785437862032,0.03394751546161794,0.048028735403101014,0.16598093524952987,1,289,76,0.16598093524952987,388,True,zwickau
70,5_gram,70,inner,0.05554253626695973,0.03812735126908057,0.0009032233126307992,0.032166782974463966,0.04791682151897674,0.06962675683551027,0.362205974660813,0,915,82,0.362205974660813,1120,,zwickau
