,importance,feature
503,0.0,_bend
504,0.0003703859913023685,_bene
505,0.00012681809781067962,_beni
506,0.0,_ber
507,0.0,_beri
508,0.0,_berk
509,0.0,_bero
510,0.0,_bers
511,0.0,_bes
512,0.0,_best
513,3.2373984580371785e-05,_bet
514,0.0,_beta
515,1.566356449564662e-05,_bete
516,0.0,_betf
517,0.0,_betl
518,0.0,_beto
519,0.0,_bets
520,0.0,_betu
521,0.0,_bi
522,0.0,_bi_
523,0.0,_bi_m
524,0.0,_bib
525,0.0,_bibe
526,0.0,_bibl
527,0.0,_bibu
528,0.0,_bir
529,0.0,_bira
530,5.61766990930508e-05,_bis
531,0.0,_bis_
532,0.0,_bisa
533,0.0,_biss
534,0.0,_bit
535,0.0,_bitu
536,0.0,_bo
537,0.0,_bod
538,0.0,_bodi
539,0.0,_bodw
540,0.0,_boe
541,0.0,_boen
542,0.0,_bol
543,9.557752020981906e-06,_bolo
544,0.0,_bon
545,0.0,_bona
546,0.0,_bone
547,0.0,_boni
548,0.0,_bono
549,0.0,_bonu
550,0.0,_bor
551,0.0,_bore
552,0.0,_bos
553,0.0,_bosr
554,0.0,_bost
555,0.0,_bot
556,0.0,_botr
557,0.0,_bots
558,0.0,_bou
559,0.0,_boue
560,8.596767163610623e-05,_br
561,0.0,_bra
562,0.0,_brac
563,0.0,_brag
564,0.0,_bre
565,0.0,_breu
566,0.0,_bri
567,0.0,_brig
568,0.0,_bru
569,0.0,_brun
570,0.0,_bu
571,0.0,_bub
572,0.0,_bubu
573,0.0,_buc
574,0.0,_bucc
575,0.0,_bur
576,0.0,_burc
577,0.0,_bus
578,0.0,_buse
579,0.0,_but
580,0.0,_buti
581,0.000898319512185273,_c
582,0.0,_c_
583,0.0,_c_i
584,0.0,_c_is
585,0.0,_c_l
586,0.0,_c_li
587,0.00019323387842467356,_ca
588,0.0,_cab
589,0.0,_cabu
590,0.0,_cac
591,0.0,_cacu
592,0.0,_cad
593,0.0,_cada
594,0.0,_cade
595,0.0,_cadi
596,0.0,_cadu
597,0.0,_cai
598,0.0,_caim
599,0.0,_cain
600,3.939769218673249e-05,_caip
601,0.00025002703445559235,_cal
602,0.0,_cala
603,0.0,_calc
604,0.0,_cald
605,0.0,_cale
606,0.0,_cali
607,0.0,_calo
608,0.0,_calu
609,5.80176345651734e-05,_cam
